control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak606	278	101	3386	3566	215	192	1933	3097
peak607	587	247	629	1277	118	146	560	894
peak608	122	101	671	1094	70	92	650	926
peak609	16	15	246	273	22	20	131	292
peak610	1281	515	1473	1620	613	742	2583	3621
peak611	263	90	261	377	95	87	299	697
peak612	214	105	2802	2773	120	132	1140	2140
peak613	273	121	3341	3373	132	153	968	1924
peak614	109	50	671	808	66	70	352	466
peak615	581	292	553	735	265	297	793	984
peak616	46	22	138	142	50	35	613	459
peak617	99	24	387	139	64	20	845	525
peak618	99	34	264	125	48	25	540	447
peak619	299	91	637	1010	105	152	402	877
peak620	90	30	399	461	51	52	193	233
peak621	140	65	722	1170	210	268	1115	2783
peak622	314	114	3205	3600	377	470	3060	5839
peak623	355	133	960	869	236	123	1287	1366
peak624	398	106	1194	920	214	180	1292	1210
