control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak484	14	1	430	176	8	4	404	122
peak485	14	7	111	36	12	3	97	22
peak486	21	10	306	77	6	1	225	42
peak487	14	7	144	109	10	0	74	50
peak488	8	6	100	89	4	2	100	44
peak489	11	7	61	44	2	0	51	18
peak490	15	3	74	34	9	6	62	28
peak491	10	7	125	81	8	2	105	25
peak492	10	5	101	49	6	0	66	21
peak493	36	10	244	221	23	8	278	172
peak494	33	16	334	238	32	10	350	134
peak495	11	6	73	22	2	0	60	21
peak496	25	13	173	82	9	5	74	68
peak497	30	17	168	55	9	5	157	61
peak498	14	8	121	92	6	4	60	35
peak499	29	22	266	78	17	11	144	51
peak500	10	2	128	35	11	3	59	33
peak501	9	4	94	34	6	2	48	28
peak502	6	1	71	17	2	3	80	47
peak503	13	6	128	24	9	4	43	16
peak504	20	14	192	179	18	4	233	93
peak505	13	4	67	42	12	0	70	33
peak506	24	10	140	41	18	6	156	101
peak507	43	20	570	140	32	9	413	192
peak508	86	51	1560	477	46	13	1163	478
peak509	40	22	344	101	23	3	180	87
peak510	58	26	666	290	21	13	427	177
peak511	31	19	368	183	9	2	130	61
peak512	18	7	108	52	5	3	38	24
peak513	4	0	90	27	3	2	143	174
peak514	57	26	622	146	47	3	547	188
peak515	9	3	49	42	1	0	38	23
peak516	7	4	92	78	3	0	44	48
peak517	44	13	538	192	38	7	418	111
peak518	37	17	311	231	30	5	295	102
peak519	13	2	81	34	9	3	60	10
peak520	8	7	107	34	8	2	71	22
peak521	5	2	44	45	3	0	26	16
peak522	128	56	413	320	84	17	417	130
peak523	271	103	2080	743	216	38	1700	416
peak524	11	16	541	74	13	8	963	424
peak525	31	18	309	142	7	3	258	99
peak526	21	3	183	43	3	8	94	26
peak527	26	8	133	87	13	5	96	37
peak528	10	4	93	53	10	3	53	37
peak529	16	12	389	214	18	3	479	155
peak530	26	11	251	124	22	6	214	72
peak531	11	3	83	33	5	3	119	28
peak532	12	4	443	176	12	1	323	112
peak533	12	3	161	44	8	3	136	22
peak534	18	3	86	71	6	3	78	31
peak535	21	15	130	71	17	4	135	39
peak536	15	2	80	42	7	2	62	22
peak537	16	3	69	39	11	2	59	26
peak538	17	4	88	70	15	2	122	36
peak539	3	1	86	37	1	0	68	23
peak540	4	4	336	32	6	0	769	192
peak541	25	6	151	87	23	2	119	45
peak542	13	8	119	110	3	1	103	35
peak543	22	11	572	223	7	4	525	133
peak544	26	4	208	103	10	1	165	66
peak545	5	2	79	54	3	3	36	34
peak546	10	7	114	44	6	1	73	36
peak547	45	14	194	124	18	8	132	92
peak548	32	16	200	156	16	7	121	58
peak549	42	4	125	62	9	6	95	31
peak550	9	5	72	16	1	1	113	45
peak551	21	3	68	54	4	4	67	28
peak552	22	14	209	115	13	5	144	65
peak553	14	2	78	32	5	1	144	26
peak554	10	15	179	105	19	7	145	80
peak555	28	10	150	98	31	2	102	57
peak556	108	38	1247	803	43	18	655	332
peak557	39	16	218	182	23	0	115	86
peak558	8	3	104	7	9	3	174	69
peak559	9	5	57	38	5	4	41	10
peak560	16	2	88	45	9	1	76	26
peak561	4	3	44	19	3	0	84	43
peak562	12	3	193	60	7	0	163	59
peak563	15	7	120	82	9	4	97	39
peak564	4	3	75	31	6	1	74	13
peak565	1	1	29	7	2	1	105	24
peak566	18	3	120	61	8	1	78	21
peak567	50	23	125	33	40	6	143	29
peak568	8	0	55	44	2	2	33	29
peak569	4	1	86	59	5	3	142	68
peak570	38	15	1104	39	10	4	940	21
peak571	8	4	39	43	4	2	36	33
peak572	21	9	192	77	10	3	136	39
peak573	13	4	55	33	3	2	20	27
peak574	4	2	119	37	4	1	80	48
peak575	8	2	94	25	5	2	82	33
peak576	17	5	167	81	11	2	131	71
peak577	62	27	483	277	61	22	498	196
peak578	64	23	269	172	69	14	264	162
peak579	8	6	23	16	8	8	111	55
peak580	43	7	863	217	38	5	806	266
peak581	17	13	494	207	5	3	946	441
peak582	40	7	281	158	21	6	231	104
peak583	35	12	459	207	22	7	371	134
peak584	14	10	132	102	12	4	142	84
peak585	15	4	119	41	4	1	102	43
peak586	13	4	77	27	13	0	52	22
peak587	19	6	108	79	9	6	93	29
peak588	43	23	353	181	25	12	391	129
peak589	15	5	85	27	8	3	64	43
peak590	20	9	104	104	17	5	234	66
peak591	74	24	1176	398	47	12	1134	236
peak592	2	2	191	71	4	1	200	49
peak593	18	4	109	63	7	4	123	57
peak594	16	4	108	17	5	0	79	19
peak595	21	8	245	210	15	1	246	196
peak596	58	15	486	232	31	13	359	97
peak597	62	19	302	184	18	6	188	65
peak598	68	38	670	393	49	17	427	203
peak599	64	18	204	185	16	5	141	124
peak600	19	9	161	48	9	4	97	32
peak601	13	4	226	52	4	2	147	48
peak602	13	4	29	12	3	1	57	17
peak603	0	0	31	5	1	1	203	78
peak604	1	0	55	4	0	1	295	72
