control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak280	22	22	30	133	81	99	41	50	45	104	140	187
peak281	11	6	6	13	11	15	17	32	26	29	33	33
peak282	12	13	17	75	43	55	35	27	22	45	81	98
peak283	254	179	211	1025	661	569	233	258	201	718	756	943
peak284	22	8	14	136	104	93	19	22	14	78	113	150
peak285	17	5	11	53	34	34	3	6	5	19	28	45
peak286	1	10	6	74	45	40	6	3	1	31	49	58
peak287	15	2	10	307	211	180	10	7	5	77	120	184
peak288	49	21	32	961	685	624	52	53	50	656	871	1164
peak289	44	30	34	147	86	96	22	44	23	65	100	163
peak290	35	35	51	117	86	82	37	62	46	65	85	124
peak291	37	33	29	160	136	110	33	36	49	66	107	136
peak292	137	75	92	215	126	124	82	85	96	119	130	173
peak293	39	26	26	228	211	192	31	32	29	146	205	283
peak294	107	83	105	527	341	343	90	153	122	273	444	531
peak295	31	20	18	41	21	22	30	24	26	21	27	33
peak296	45	22	34	46	44	41	28	38	41	36	56	62
peak297	96	59	69	536	392	319	71	68	71	290	329	466
peak298	38	24	28	60	42	24	28	28	21	30	36	53
peak299	346	286	361	1682	1094	1313	285	426	369	1042	1484	2151
peak300	101	115	106	195	164	155	94	170	117	132	168	252
peak301	222	101	162	432	272	266	216	222	184	292	355	391
peak302	162	132	170	564	400	338	184	206	191	292	416	528
peak303	707	475	544	2454	1628	1546	646	669	697	1445	1663	2194
peak304	814	554	659	7745	4913	4784	702	771	729	4122	5521	6816
peak305	6	4	2	24	11	11	5	3	2	7	19	24
peak306	7	7	8	26	13	16	5	8	4	11	14	13
peak307	4	10	3	38	36	27	10	6	9	18	25	38
peak308	14	9	11	98	76	78	13	12	14	39	53	87
peak309	85	54	43	354	277	198	77	87	70	188	242	324
peak310	0	4	6	8	16	9	10	15	11	18	18	24
peak311	20	12	15	62	48	34	14	14	13	54	53	80
peak312	5	6	6	18	14	20	18	12	6	22	22	27
peak313	27	24	21	60	50	50	26	26	35	29	48	53
peak314	9	16	9	41	20	28	18	25	28	22	52	52
peak315	46	33	61	235	202	209	50	77	80	200	319	354
peak316	10	13	12	33	23	30	16	18	15	36	47	64
peak317	15	13	18	213	144	142	14	10	20	91	145	184
peak318	12	7	12	141	120	91	15	15	15	72	137	145
peak319	80	55	80	465	296	271	81	99	91	221	298	377
