control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak142	1328	880	1221	590	282	273	304	372
peak143	2656	2012	2432	1403	800	734	740	877
peak144	3290	2127	2944	1381	965	1027	950	1013
peak145	178	148	230	104	88	102	84	147
peak146	168	114	173	64	83	89	97	120
peak147	2422	1745	2239	1270	683	784	909	994
peak148	364	281	182	211	260	293	229	324
peak149	781	502	879	380	280	298	294	356
peak150	1663	1110	3177	1121	949	900	1004	1163
peak151	391	327	497	215	196	238	272	366
peak152	594	368	1302	1092	158	143	312	404
peak153	4611	3906	9208	6254	1510	1690	3020	3982
peak154	305	230	410	201	151	162	174	208
peak155	949	584	1289	668	493	526	671	746
peak156	3021	2078	2621	1864	1829	1675	1734	2104
peak157	10047	6338	6246	4201	3355	3569	2730	3238
peak158	6451	4057	5362	3008	2551	2392	2060	2232
peak159	132	80	179	106	158	143	165	221
peak160	2485	1740	1976	1513	867	885	780	920
peak161	876	609	1103	451	546	517	551	640
peak162	207	173	272	143	146	145	180	239
peak163	234	183	301	203	78	93	100	129
peak164	173	150	296	211	61	61	84	134
peak165	187	144	181	121	61	79	77	89
peak166	43669	35889	50295	31152	21437	24439	29169	36113
peak167	22402	14349	16839	9016	9638	9999	9065	10634
peak168	27654	20263	16989	10237	11833	12784	8593	10417
peak169	104	84	206	82	39	54	69	78
peak170	184	196	191	135	92	87	95	156
peak171	2818	1675	6362	2628	1071	936	1356	1415
peak172	4598	2984	4691	3430	1319	1342	1606	1947
peak173	139	95	154	70	215	244	190	311
peak174	402	335	734	439	114	124	224	289
peak175	218	158	353	252	106	85	163	236
peak176	637	448	1024	473	311	295	265	310
peak177	515	344	544	349	163	197	286	359
peak178	247	240	663	324	99	146	223	281
peak179	1124	788	2164	913	1059	1048	1214	1481
peak180	1479	1025	1140	869	513	498	490	607
peak181	2002	1376	2918	1949	687	703	909	1175
peak182	874	645	1635	1247	297	268	664	800
peak183	254	206	662	432	97	95	217	271
peak184	3614	2851	3546	1348	804	985	800	971
peak185	6291	4363	5042	3760	1478	1632	2013	2481
peak186	3530	2370	3038	1540	983	953	912	1167
peak187	50	50	79	44	38	37	51	46
peak188	394	269	538	238	168	151	170	195
peak189	611	404	1017	631	198	280	280	396
peak190	437	329	746	383	188	194	221	235
peak191	489	326	811	415	140	169	199	286
