control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak280	227	303	553	651	148	164	277	588
peak281	153	190	1506	829	145	114	306	548
peak282	3262	3977	11262	11210	1369	1154	2481	2747
peak283	870	1703	3064	4501	420	245	934	1156
peak284	751	1599	1568	1959	442	167	805	539
peak285	232	329	2732	2613	79	83	365	1084
peak286	299	520	1050	1468	108	106	240	136
peak287	51	66	429	328	82	74	146	378
peak288	145	157	463	409	105	386	110	610
peak289	224	257	1300	757	147	501	548	1629
peak290	122	117	545	107	90	240	309	401
peak291	44	61	445	584	38	39	175	367
peak292	36	19	420	181	19	24	74	329
peak293	202	475	675	1518	113	206	136	983
peak294	108	312	453	1232	78	143	107	341
peak295	454	1053	5943	7475	273	351	922	2552
peak296	51	74	532	748	36	33	354	320
peak297	179	183	768	501	33	67	1	91
peak298	517	773	4629	6259	153	243	1453	2346
peak299	2581	3748	1737	2594	2571	1644	1728	1628
peak300	512	486	1765	1764	252	255	389	1235
peak301	552	556	1760	1210	244	421	301	839
peak302	676	780	1726	2071	316	459	510	1187
peak303	166	182	268	428	122	141	158	238
peak304	213	536	669	1055	147	211	256	470
peak305	51	112	600	694	45	53	221	340
peak306	300	598	846	1204	257	257	331	467
peak307	4716	9467	6016	7495	2589	1341	1896	838
peak308	361	754	685	932	198	83	357	436
peak309	198	305	766	592	94	112	258	253
peak310	1570	4150	6268	14966	1658	2461	3130	7117
peak311	558	1199	577	1287	333	783	94	744
peak312	324	515	3304	2305	193	234	1007	1790
peak313	73	144	743	778	66	56	329	465
peak314	668	939	1943	1696	551	518	1074	1127
peak315	1349	1800	5249	6192	996	1018	2025	2622
peak316	55	47	319	397	21	9	25	72
peak317	150	222	1590	1267	128	130	567	1199
peak318	474	916	1571	1731	389	448	561	900
peak319	738	779	1947	1705	367	510	809	1138
peak320	1703	2056	4422	3620	806	1393	1852	2979
peak321	386	692	2624	3584	285	309	914	1239
peak322	140	356	601	1020	103	175	311	821
peak323	1178	2016	1105	2201	589	694	367	530
peak324	465	824	357	880	240	267	58	551
peak325	1652	2730	3586	4370	840	989	1361	1388
peak326	1065	3167	1574	2644	1270	483	1067	404
peak327	831	2285	2990	5117	977	473	1832	1006
peak328	64	134	361	669	64	65	248	404
peak329	267	807	844	1620	525	168	1169	459
peak330	122	462	177	698	283	155	240	291
peak331	54	108	389	535	32	16	235	1
peak332	424	1147	1761	3841	339	405	1026	1401
peak333	181	160	2393	1321	154	174	623	1104
peak334	1268	3516	5667	10573	1219	889	3338	2783
peak335	744	2468	833	3802	741	666	650	948
peak336	37	61	237	709	15	22	63	348
peak337	74	99	821	871	44	33	283	208
peak338	522	1000	3168	4702	375	488	1686	2483
peak339	158	281	274	742	116	132	407	124
peak340	7	2	69	53	17	17	371	170
peak341	6093	13563	3677	6980	4387	8025	1544	2906
peak342	234	717	621	1403	152	221	207	793
peak343	456	747	791	1243	350	225	487	549
peak344	275	513	2051	1928	165	164	380	398
peak345	93	183	328	537	61	76	111	291
peak346	265	654	1644	2443	218	266	1015	1103
peak347	325	703	495	853	285	248	302	499
peak348	542	746	1438	1078	526	651	699	623
peak349	219	432	887	1373	189	291	404	888
peak350	129	190	143	808	98	159	241	561
peak351	42	17	431	16	8	32	11	75
peak352	33	62	179	362	50	28	89	0
peak353	138	116	368	521	104	131	153	377
peak354	147	236	496	457	128	84	374	623
peak355	334	634	859	1816	231	206	285	455
peak356	277	502	951	955	203	182	404	213
peak357	586	849	2725	3361	456	343	1136	1001
peak358	565	772	3077	2645	380	391	1717	1076
peak359	836	1327	2633	2566	965	924	1459	1862
peak360	1462	2011	3206	3500	809	874	1331	1244
peak361	6587	6350	39859	27236	3750	3788	10524	17662
peak362	1183	976	2931	2076	633	592	964	1542
peak363	1377	1205	5643	2159	842	747	1800	3370
peak364	366	807	1967	2434	437	282	917	1115
peak365	1321	2400	7897	9466	1134	947	4093	3872
peak366	378	677	2762	3906	368	271	1484	1439
peak367	690	1233	1261	1382	606	511	858	724
peak368	48	115	263	307	131	72	418	296
peak369	124	293	850	1484	232	138	1088	417
peak370	31	76	82	400	16	62	177	158
peak371	121	499	430	755	122	186	346	472
peak372	232	404	284	683	121	317	72	269
peak373	527	619	2952	3222	225	352	1012	1783
peak374	279	298	1224	843	130	173	147	570
peak375	1883	4990	2587	5489	971	1379	691	1657
peak376	1170	2328	2502	2982	962	1009	1364	1423
peak377	1077	2050	1729	2876	733	839	881	806
peak378	75	160	203	688	67	50	200	185
peak379	60	125	737	781	59	54	65	380
peak380	142	306	406	1127	295	290	313	798
peak381	97	137	375	475	106	98	118	335
peak382	59	134	305	779	33	24	169	119
peak383	633	3094	768	4354	506	813	214	1201
peak384	240	252	1761	1226	134	177	586	867
peak385	921	862	2915	2145	571	678	1190	1550
peak386	271	414	790	1000	193	223	252	619
peak387	130	276	557	751	119	102	224	318
peak388	1433	4118	4026	8865	652	648	1203	1152
peak389	327	930	4160	6360	162	134	631	1366
peak390	494	1561	3800	6017	169	219	841	765
peak391	302	783	1951	2936	121	72	297	338
peak392	486	1304	1865	2680	224	162	398	240
peak393	921	2526	1985	5862	294	297	889	531
peak394	892	1950	543	931	632	1071	212	340
peak395	790	824	304	276	1048	1315	182	283
peak396	78	261	271	608	51	54	35	350
peak397	119	265	429	701	142	183	343	726
peak398	465	1017	1173	1704	524	728	923	1353
peak399	141	356	598	1501	105	172	23	620
peak400	31	86	426	487	41	41	106	377
peak401	47	114	1226	3281	20	27	670	649
peak402	29	115	85	524	24	35	0	118
peak403	7	17	353	757	10	6	97	30
peak404	148	361	315	785	108	154	166	150
peak405	41	87	280	337	27	52	154	38
peak406	12	24	471	278	34	12	350	36
peak407	125	224	291	629	113	117	232	406
peak408	81	174	206	351	46	52	73	72
peak409	64	232	248	473	68	100	62	188
peak410	212	592	521	1430	215	201	232	658
peak411	4851	10558	37273	56754	3774	6870	17071	48864
peak412	1994	3760	514	1120	1429	2347	223	490
peak413	812	649	1936	1209	704	521	1554	964
peak414	75	134	205	491	50	57	46	83
peak415	20	59	249	337	11	17	58	124
peak416	46	112	315	305	30	30	325	120
peak417	83	93	411	481	60	46	266	225
peak418	289	306	717	661	485	1103	665	2091
peak419	612	761	1694	1246	1130	2704	633	3371
peak420	1264	1220	5084	4826	2174	5161	6277	15992
peak421	719	1457	2323	2968	553	627	936	1686
peak422	1305	918	2827	1004	756	824	786	1272
peak423	554	886	1545	2379	501	577	729	1449
peak424	128	296	2129	1746	168	160	603	1334
peak425	197	305	1006	905	120	105	327	283
peak426	949	2922	1447	4530	497	510	356	611
peak427	772	896	3357	1905	542	327	1562	752
peak428	1958	2775	6083	5449	1026	760	2406	1559
peak429	1577	2405	2586	2704	1041	622	1006	619
peak430	267	501	2379	2505	153	137	625	1323
peak431	162	173	739	549	101	67	280	260
peak432	124	220	1365	1561	113	93	330	930
peak433	251	415	1541	2899	141	218	617	1151
