control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak451	6	5	31	56	94	134	2	0	1	11	10	2
peak452	3	0	22	51	141	70	0	1	0	5	7	0
peak453	99	22	219	174	183	195	321	103	74	149	96	40
peak454	115	22	286	400	1125	605	274	108	77	170	192	105
peak455	72	4	78	318	325	243	95	41	27	38	45	30
peak456	45	3	49	319	281	210	67	31	11	47	55	31
peak457	111	11	149	853	735	566	133	64	44	95	109	76
peak458	22	3	39	182	87	106	11	5	5	18	9	7
peak459	12	2	34	71	30	45	7	7	4	7	3	3
peak460	34	3	46	380	247	258	25	12	9	23	31	12
peak461	16	2	19	89	46	75	33	9	8	19	11	16
peak462	47	5	99	351	114	246	174	59	21	193	136	97
peak463	52	8	103	352	409	315	199	49	45	183	193	90
peak464	166	7	203	1453	1034	1297	71	36	23	9	13	5
peak465	120	8	134	1139	875	996	32	9	5	9	9	11
peak466	52	3	59	310	167	265	27	6	3	4	7	9
peak467	96	8	139	579	647	602	17	6	3	13	20	12
peak468	134	15	209	1084	1493	1240	17	3	9	21	19	17
peak469	46	3	45	634	808	361	39	12	10	46	50	23
peak470	56	5	37	221	115	121	39	14	8	16	23	5
peak471	349	36	361	1034	864	646	414	128	124	164	152	75
peak472	140	12	176	823	996	761	262	91	55	328	302	154
peak473	62	1	72	679	604	512	129	36	27	113	112	65
peak474	4	0	2	77	98	59	0	1	0	5	10	4
peak475	72	4	132	788	1164	897	99	32	24	119	98	56
peak476	23	2	35	60	68	56	30	1	10	20	16	10
