control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak244	10	14	8	51	74	31	34	24	18	98	142	92
peak245	1742	1561	1446	5508	9279	4338	2053	1715	1721	7990	10618	8890
peak246	70	41	47	142	200	105	40	38	28	109	117	92
peak247	160	121	97	605	779	372	142	70	87	524	435	450
peak248	25	16	18	99	157	95	14	11	15	80	114	122
peak249	491	310	238	674	942	522	554	517	580	1049	1356	1376
peak250	631	418	339	686	988	436	769	551	707	1208	1534	1438
peak251	322	307	304	1101	1742	829	406	282	415	1131	1506	1468
peak252	138	146	153	464	618	344	199	137	179	435	566	518
peak253	61	53	25	128	182	80	82	65	91	139	185	210
peak254	31	20	28	95	158	72	31	29	46	68	137	150
peak255	189	183	219	445	648	354	235	184	239	421	624	635
peak256	482	383	420	1308	1781	846	526	417	549	1359	1853	1904
peak257	169	86	109	316	345	195	272	218	273	561	805	870
peak258	305	175	216	663	618	360	500	352	500	1055	1428	1476
peak259	149	90	120	283	227	151	306	212	280	369	579	464
peak260	28	16	22	77	70	55	67	43	71	135	209	182
peak261	31	16	10	61	57	34	50	49	61	102	129	125
peak262	79	49	96	210	200	98	166	118	148	327	495	466
peak263	22	13	7	34	18	21	36	28	44	90	118	113
peak264	79	66	95	312	383	246	78	46	54	313	335	334
peak265	223	238	191	502	740	394	185	124	179	341	487	493
peak266	158	98	76	233	253	171	123	71	103	153	156	189
peak267	814	805	780	1889	2864	1436	1403	1176	1476	2620	3881	3755
peak268	1080	895	969	1856	2574	1377	1648	1354	1664	2450	3731	3449
peak269	2017	1785	1783	6026	8898	4321	3544	2645	3607	8302	11898	12207
peak270	263	250	329	712	791	438	682	524	657	1242	1712	1590
peak271	75	76	88	151	210	126	35	34	44	93	103	102
peak272	1031	1235	1417	3739	7120	3443	971	830	1176	3081	5337	5690
peak273	231	300	575	402	570	422	238	216	418	341	479	470
peak274	47	37	49	240	374	200	32	14	17	153	137	134
peak275	26	18	22	48	63	36	28	16	30	36	47	87
peak276	57	34	53	129	160	107	75	51	90	124	179	227
peak277	36	32	39	141	197	112	42	35	80	149	235	265
peak278	85	70	64	174	267	143	106	67	136	167	259	295
peak279	34	20	39	105	128	73	46	39	69	90	131	183
peak280	13	15	16	43	58	43	11	17	30	47	72	86
peak281	20	11	23	49	88	48	18	12	27	54	80	105
peak282	18	6	10	36	58	34	19	10	11	31	61	72
peak283	31	23	18	54	77	50	21	23	45	67	83	77
peak284	44	45	52	94	205	101	37	36	56	78	132	121
peak285	40	70	74	132	222	107	61	59	65	110	157	156
peak286	57	64	87	126	205	75	79	68	101	74	127	106
peak287	153	126	109	368	652	335	118	94	121	274	440	442
peak288	57	58	64	162	310	120	42	43	53	120	175	151
peak289	109	125	158	219	255	146	92	69	75	120	110	99
peak290	141	134	133	328	473	240	141	112	147	221	279	328
peak291	252	190	215	844	1259	710	198	197	258	750	1002	1190
peak292	248	174	187	534	731	422	202	154	278	340	503	582
peak293	151	100	129	296	391	229	117	103	150	189	265	329
peak294	116	68	81	173	253	156	64	78	102	135	195	182
peak295	67	51	46	110	139	95	46	41	72	77	105	98
peak296	1446	1440	1403	3648	6088	3242	1014	759	1016	2503	3145	3092
peak297	18	13	14	93	83	42	20	7	16	103	58	108
peak298	42	32	54	146	216	140	9	6	10	45	40	39
peak299	563	535	517	1369	2160	1337	454	370	485	1147	1442	1586
peak300	129	112	126	362	680	350	86	81	108	357	455	406
peak301	155	160	246	333	469	274	110	63	112	202	253	263
peak302	205	197	207	350	555	316	123	76	95	212	236	160
peak303	209	148	131	376	460	230	187	106	151	288	296	266
peak304	2	5	4	9	23	8	5	8	11	27	41	53
peak305	2	1	5	10	20	13	10	6	10	41	60	65
peak306	102	84	81	143	275	169	54	53	58	104	134	152
peak307	72	65	56	298	468	246	55	31	48	199	215	200
peak308	90	69	101	177	225	125	140	102	185	170	323	368
peak309	63	51	56	162	207	126	86	99	145	216	308	319
peak310	472	386	355	719	974	609	367	284	369	509	662	656
peak311	696	759	1207	3366	4617	2606	1337	951	1502	4509	6451	7223
peak312	13	7	15	42	67	36	40	24	39	90	156	169
peak313	207	201	172	332	444	251	503	381	476	685	997	841
peak314	71	58	56	117	193	90	163	132	152	215	265	271
peak315	39	33	31	117	183	98	32	14	35	83	140	142
peak316	298	254	269	884	1369	673	145	85	108	387	412	387
peak317	135	71	87	517	548	269	94	65	48	286	272	314
peak318	85	46	54	154	149	82	54	33	50	69	80	82
peak319	63	29	36	111	126	60	43	23	30	65	64	79
peak320	1226	1067	1304	2797	3849	1904	1297	1005	1461	2139	3407	3472
peak321	11	21	12	57	123	70	9	2	1	19	19	17
peak322	91	71	87	124	171	93	42	45	46	83	102	79
peak323	183	156	189	412	573	299	110	69	101	242	275	250
peak324	76	89	101	141	176	104	72	41	67	68	73	61
peak325	191	154	160	645	860	428	133	90	129	344	428	460
peak326	54	33	23	166	263	128	24	5	19	99	111	121
peak327	193	199	226	822	1327	663	196	153	198	735	991	893
peak328	14	25	28	72	88	54	12	8	12	27	22	25
peak329	25	17	12	74	79	60	18	15	22	73	93	86
peak330	214	156	194	817	978	532	183	76	141	527	604	693
peak331	94	60	70	148	157	88	67	50	39	89	101	93
peak332	6	5	9	21	42	18	16	13	9	43	98	80
peak333	61	72	82	169	330	202	83	52	94	167	249	320
peak334	540	530	700	1861	2599	1518	511	420	678	1379	1686	2340
peak335	652	615	496	1080	1623	905	528	336	620	1005	1121	1606
peak336	446	432	501	1266	1916	1113	391	333	443	867	1234	1353
peak337	500	511	549	2370	3884	2093	419	374	546	1794	2655	3014
peak338	11	13	13	42	87	35	21	10	28	72	125	171
peak339	33	31	31	84	149	74	17	26	34	83	103	104
peak340	248	238	270	547	770	477	230	185	179	403	582	501
peak341	212	222	258	513	716	339	340	209	328	444	673	611
peak342	49	50	50	146	212	96	70	60	68	192	265	246
peak343	63	36	50	148	197	100	91	51	98	190	233	288
peak344	121	81	93	369	530	258	160	105	171	530	733	781
peak345	320	298	259	598	919	487	391	321	416	591	816	734
peak346	68	56	65	293	563	252	57	43	63	408	523	499
peak347	45	53	38	82	111	34	59	55	45	68	117	97
peak348	13	17	17	60	123	62	4	3	3	11	28	16
peak349	83	71	112	313	658	302	14	19	18	53	79	103
peak350	48	83	89	301	630	290	24	15	25	66	113	118
peak351	199	166	203	432	621	345	231	166	249	433	620	679
peak352	456	429	491	978	1371	728	491	442	595	994	1301	1410
peak353	386	330	315	616	842	507	441	353	467	623	747	939
peak354	118	117	166	221	315	188	176	129	250	326	431	464
peak355	223	226	205	431	629	323	223	159	210	356	522	447
peak356	145	126	120	278	358	172	184	112	135	231	258	276
peak357	788	710	613	1053	1448	701	652	432	672	881	970	1217
peak358	398	397	376	1400	1780	846	286	222	321	666	826	960
peak359	264	190	246	492	649	353	195	120	186	266	334	321
peak360	370	295	318	1118	1536	796	241	185	274	655	849	932
peak361	388	346	323	1516	2085	1043	287	203	332	984	1172	1494
peak362	485	410	507	2020	2774	1477	365	233	421	1221	1475	1896
peak363	763	693	792	2666	3366	1747	615	418	615	1524	1828	2424
peak364	58	63	82	172	209	116	45	40	57	89	133	142
peak365	151	103	138	472	598	329	126	72	96	350	484	615
peak366	4	1	4	5	8	5	433	249	386	888	1093	1125
peak367	243	234	231	838	1450	759	233	199	254	705	997	975
peak368	29	26	21	122	145	73	1343	1038	1401	4953	6386	6771
peak369	40	19	21	113	109	61	1300	980	1156	3936	5108	4845
peak370	74	63	86	298	359	175	289	259	282	888	1269	1141
peak371	150	123	93	326	462	224	482	441	544	1095	1498	1361
peak372	59	44	59	146	201	121	64	36	58	162	223	215
peak373	619	511	521	1480	1785	848	680	382	481	1296	1524	1308
peak374	405	419	502	1049	1734	966	409	226	355	703	857	922
peak375	75	63	74	361	499	231	94	75	87	369	473	517
peak376	81	89	85	288	411	215	369	271	466	1002	1537	1866
peak377	82	92	80	202	277	137	317	278	444	552	1014	1062
peak378	355	344	383	677	1101	550	317	271	329	499	839	804
peak379	268	264	240	565	842	454	239	199	245	376	582	578
peak380	17	15	20	94	123	70	31	17	19	136	96	87
peak381	22	17	13	75	61	32	17	20	12	54	52	46
peak382	75	74	78	280	490	244	58	44	66	196	304	325
peak383	89	80	95	309	512	301	87	94	93	269	387	405
peak384	210	165	169	361	485	301	208	162	240	302	389	359
peak385	285	268	281	1352	2205	1194	326	235	358	1325	1785	1742
peak386	28	10	12	57	80	65	12	13	17	76	63	100
peak387	17	13	11	58	63	34	16	6	18	53	44	61
peak388	327	243	307	663	946	497	197	95	144	425	476	471
peak389	695	564	702	3125	4320	2290	521	290	411	2177	2042	2186
peak390	56	64	77	139	173	111	52	41	52	95	130	110
peak391	35	29	36	151	166	103	26	21	28	77	65	63
peak392	2856	2668	2329	8798	12911	6424	2937	2074	2695	9842	10894	11949
peak393	1303	1012	1081	2890	3710	2079	1172	773	1170	2189	2340	2808
peak394	807	674	815	2671	3677	1970	777	493	730	2432	2711	3357
peak395	833	643	754	2136	2612	1389	859	504	857	1678	1923	2362
peak396	146	127	160	247	373	229	121	92	164	218	322	318
peak397	1	0	2	2	3	4	11	4	16	50	64	69
peak398	1	0	2	2	3	1	17	8	18	27	43	74
peak399	28	7	3	90	54	17	12	3	9	56	32	35
peak400	279	240	172	475	775	433	150	124	149	388	402	338
peak401	28	60	48	79	127	60	102	87	150	191	296	418
peak402	466	400	482	1247	1682	910	499	343	401	1063	1284	1258
peak403	345	340	515	1150	1765	940	324	209	386	1058	1501	1670
peak404	185	150	140	382	665	332	98	92	140	248	360	455
peak405	89	94	108	256	427	201	63	58	106	151	240	281
peak406	161	165	178	461	885	455	144	74	149	288	454	587
peak407	206	204	267	452	556	347	301	163	241	413	515	536
peak408	105	88	74	202	296	132	76	48	67	122	98	90
peak409	165	116	144	476	657	401	135	121	145	449	683	769
peak410	56	49	42	99	146	80	40	34	47	76	131	127
peak411	207	194	217	300	417	239	188	152	230	197	323	291
peak412	390	309	338	808	1140	710	306	251	340	666	932	1137
peak413	401	392	426	1678	2369	1356	373	300	442	1424	2091	2666
peak414	102	72	72	327	469	238	93	48	55	314	345	354
peak415	417	328	229	381	586	346	309	261	255	449	524	501
peak416	45	31	33	93	99	59	50	23	44	110	83	84
peak417	57	24	28	154	173	95	54	25	31	196	138	168
peak418	119	81	76	353	348	142	202	111	123	471	523	498
peak419	53	29	27	68	60	28	58	36	31	78	93	85
peak420	352	329	338	759	812	397	444	246	289	579	739	609
peak421	216	185	168	432	527	254	191	117	187	378	476	485
peak422	318	248	235	713	1190	515	279	181	242	569	841	901
peak423	96	61	63	160	247	151	95	89	108	252	301	339
peak424	276	192	180	538	751	394	298	246	342	603	775	798
peak425	356	314	262	788	1006	496	529	383	518	758	1009	1015
peak426	883	670	675	2863	4317	2036	1156	838	1147	3978	4830	5652
peak427	95	110	113	228	290	139	170	114	171	310	327	408
peak428	239	169	230	424	482	224	390	240	387	504	633	712
peak429	293	214	183	444	514	272	421	281	410	654	723	840
peak430	427	321	318	1118	1338	734	633	435	625	1440	1945	2326
peak431	155	144	133	436	568	299	236	181	247	608	753	858
peak432	756	767	761	1616	2541	1310	635	511	619	1052	1566	1332
peak433	47	55	58	154	259	166	50	34	50	131	168	191
peak434	95	96	84	360	581	314	499	311	491	1729	1982	2189
peak435	9	8	9	44	88	36	8	11	5	45	77	59
peak436	363	359	316	431	645	373	390	307	381	483	637	576
peak437	23	25	24	68	75	57	37	34	54	65	99	91
peak438	39	36	41	79	62	46	73	43	93	75	128	126
peak439	185	154	212	853	1307	650	87	51	64	427	439	495
peak440	840	942	1020	2453	4635	2204	908	705	1020	2358	3572	3600
peak441	8	12	10	39	92	42	9	8	9	46	60	68
peak442	11	10	13	52	94	40	12	4	14	42	41	54
peak443	5	5	6	67	93	62	7	7	13	74	86	119
