control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak240	5179	3421	6982	3866	1969	2157	2806	3725
peak241	197	142	350	251	194	160	247	305
peak242	4672	3547	3794	3114	2104	2181	2426	2744
peak243	18369	13060	15532	10807	7193	7503	7562	9282
peak244	1678	1349	1458	1488	626	629	1021	1346
peak245	4170	3012	3811	3179	1733	1769	2035	2398
peak246	139490	98974	133216	71233	98664	90324	40951	50269
peak247	15810	11098	21232	10993	6742	7470	7670	9359
peak248	75	50	117	57	53	40	51	87
peak249	5908	4774	8159	7305	2353	2280	3039	3578
peak250	506	552	559	1211	194	247	606	850
peak251	119	77	189	94	64	59	65	75
peak252	95	47	202	106	36	33	64	92
peak253	1438	1110	951	547	344	367	346	359
peak254	496	316	465	288	237	263	307	365
peak255	905	677	479	355	335	369	469	473
peak256	195	158	242	133	79	81	97	108
peak257	214	147	356	187	137	146	169	202
peak258	159	132	185	265	52	55	132	192
peak259	574	403	510	293	233	250	271	353
peak260	13838	8698	4816	4116	3652	3718	2908	3219
peak261	305	283	217	263	85	123	168	218
peak262	1656	1260	1032	1097	750	819	712	967
peak263	2678	2039	1355	1036	1090	1123	909	1138
peak264	9639	6331	12440	8742	4274	4531	4108	4820
peak265	16226	10475	12518	8115	6327	6421	5399	6424
peak266	2385	1620	2506	1571	1002	957	862	1098
peak267	460	283	577	369	198	179	165	211
peak268	282	191	337	140	130	111	83	137
peak269	663	417	913	817	366	336	473	671
peak270	1883	1208	2176	1646	912	845	1153	1366
peak271	216	147	511	362	92	92	237	293
peak272	433	364	586	367	199	179	231	248
peak273	2018	1427	2993	1655	657	611	700	813
peak274	134	112	162	132	54	63	92	143
peak275	173	128	224	192	83	98	152	181
peak276	387	245	398	211	144	129	164	182
peak277	1632	1195	1614	1131	562	585	603	705
peak278	939	691	1204	881	355	326	441	588
peak279	222	279	350	286	115	145	213	287
peak280	1955	1263	1822	1065	721	740	756	815
peak281	291	170	456	104	261	228	83	118
peak282	6094	4187	4048	1821	1814	2014	1600	1901
peak283	7492	5023	7421	4367	2328	2347	2840	3560
peak284	4336	3013	4395	2994	1546	1499	1991	2158
peak285	255	204	463	257	62	71	93	133
peak286	2615	2327	4397	5485	1152	1181	3072	3817
peak287	470	388	765	535	195	213	382	449
peak288	2417	1653	2431	1761	968	1016	1261	1508
peak289	1528	1005	1412	718	544	669	676	934
peak290	2539	1668	2213	891	884	1024	814	1051
peak291	1665	1204	818	768	462	500	459	585
peak292	1865	1242	1742	1543	855	797	924	1162
peak293	2874	1917	4194	1830	972	932	982	1051
peak294	1548	1172	2804	1844	534	547	1007	1500
peak295	1204	782	1498	709	274	262	273	381
peak296	204	170	280	114	80	96	109	118
peak297	61	49	117	39	22	20	9	19
peak298	58	36	97	42	13	16	8	12
peak299	1164	736	1745	661	497	541	652	667
peak300	518	418	786	653	143	130	192	234
peak301	3103	1998	2117	1550	1015	918	1165	1231
peak302	142	144	363	184	75	81	121	183
peak303	223	176	390	275	101	112	106	167
peak304	2074	1516	2370	1347	863	892	945	1127
peak305	1568	1183	1986	876	429	451	513	627
peak306	9212	5488	10307	6690	3191	2945	4783	5156
peak307	15017	11473	29813	17364	12085	10864	20318	27187
peak308	14918	10652	23204	15998	10221	10232	14512	17899
peak309	4818	3162	6077	4541	3239	3119	4094	5364
peak310	32392	17208	18460	13692	15400	15659	13054	16680
peak311	316	213	493	237	191	202	193	205
peak312	1731	1116	2047	1086	1070	1142	1322	1596
peak313	298	224	424	230	154	169	200	257
peak314	422	320	343	281	151	190	228	234
peak315	12043	7694	12181	9306	3038	2839	3649	4224
peak316	485	433	677	507	152	212	355	516
peak317	357	241	391	210	124	130	133	164
peak318	607	375	1208	806	253	222	485	627
peak319	181	191	427	347	87	100	238	313
peak320	148	106	205	72	51	58	45	54
peak321	1088	715	1341	543	407	394	346	447
peak322	142	96	224	95	57	51	55	75
peak323	459	360	803	358	251	263	363	471
peak324	712	525	1204	642	259	270	408	499
peak325	652	488	779	468	300	269	313	362
peak326	191	126	160	96	96	111	122	119
peak327	1533	1063	1520	806	523	486	442	574
peak328	2569	1608	3065	1540	757	733	909	1004
peak329	351	255	393	301	114	128	180	197
peak330	256	160	510	195	150	159	128	166
peak331	201	148	309	118	97	99	94	129
peak332	1510	966	1330	1039	496	477	430	555
peak333	332	261	745	347	157	134	247	270
peak334	516	421	362	230	257	261	279	296
peak335	442	355	587	409	229	256	300	392
peak336	1384	894	2107	866	542	609	652	787
peak337	1889	1193	2466	976	792	949	832	1137
peak338	1709	1153	2308	886	725	765	727	855
peak339	3113	2024	4181	1955	1425	1459	1631	2000
peak340	663	469	788	525	204	238	256	308
peak341	416	326	587	278	155	168	195	241
peak342	712	500	925	336	278	352	373	427
peak343	818	561	1272	484	250	238	277	319
peak344	980	721	871	516	440	498	413	495
peak345	21441	14102	19335	9001	8139	8211	7675	9350
peak346	43578	32038	57677	37447	20126	18189	27349	30315
peak347	179	133	347	293	66	53	127	190
peak348	848	592	1177	569	372	428	424	548
peak349	151	102	241	124	58	76	67	111
peak350	94	62	207	122	42	32	78	106
peak351	1919	1352	2684	1245	715	813	878	1065
peak352	899	642	917	564	334	348	373	557
peak353	90	55	207	149	67	52	211	302
peak354	350	251	574	259	140	124	181	187
peak355	108	60	152	77	35	42	48	35
peak356	108	75	182	69	72	61	77	82
peak357	348	230	553	229	131	122	136	136
peak358	133	137	200	142	49	85	100	160
peak359	96	64	144	91	54	63	59	86
peak360	88	86	154	86	54	56	39	82
peak361	436	302	326	221	141	171	184	211
peak362	2626	2040	3032	1759	1020	1188	1615	1875
peak363	904	595	1045	602	233	255	290	320
peak364	186	164	368	139	74	71	72	90
peak365	7752	4768	15279	10056	3221	2692	3959	3858
peak366	177	118	202	106	69	79	87	96
peak367	1259	825	1128	442	339	287	257	260
peak368	2077	1481	2811	1261	541	714	796	925
peak369	1809	1358	1939	1330	487	565	694	962
peak370	2975	1857	3345	2246	945	844	817	936
peak371	1579	1113	1244	917	494	488	511	608
peak372	1498	1048	1480	1157	435	481	475	585
peak373	629	464	751	558	205	202	225	274
peak374	379	300	912	530	135	147	283	316
peak375	763	499	868	515	307	304	293	321
peak376	529	359	670	308	188	202	229	268
peak377	275	225	442	201	118	117	147	162
peak378	173	127	235	116	60	53	79	76
peak379	889	687	780	1037	284	269	448	630
peak380	4006	2636	6029	2078	1462	1487	1410	1588
peak381	173236	105749	91927	46456	58742	55923	41678	45463
peak382	75366	53761	28453	22994	25649	26262	19347	22328
peak383	679	548	958	595	244	262	334	391
