control_input	control_input.1	control_input.2	control_input.3	control_input.4	control_IP	control_IP.1	control_IP.2	control_IP.3	control_IP.4	treatment_input	treatment_input.1	treatment_input.2	treatment_input.3	treatment_input.4	treatment_IP	treatment_IP.1	treatment_IP.2	treatment_IP.3	treatment_IP.4
peak204	15	0	0	4	0	19	10	5	15	1	20	0	0	2	0	26	4	4	77	4
peak205	27	14	25	30	0	24	69	56	85	41	36	44	30	24	52	20	83	61	190	39
peak206	18	3	3	10	0	30	2	8	21	2	35	6	0	2	0	59	2	11	144	8
peak207	25	2	3	12	0	47	23	20	89	12	73	8	5	2	0	52	20	23	87	9
peak208	75	16	4	58	0	85	51	44	157	16	296	40	25	125	0	92	69	92	500	17
peak209	6	1	5	42	0	22	6	7	578	12	3	0	0	2	1	0	17	6	43	22
peak210	3	0	0	0	0	32	1	2	51	2	3	1	0	0	0	45	2	1	73	1
peak211	9	1	0	5	0	42	5	7	39	5	6	1	0	0	0	39	9	17	39	3
peak212	29	125	206	478	308	92	626	786	3740	694	53	221	238	247	64	106	790	1215	2775	696
peak213	7	0	1	2	0	75	1	4	46	3	14	4	0	2	0	14	0	2	16	7
peak214	27	6	4	23	0	60	16	36	170	27	27	7	0	2	0	35	35	31	71	36
peak215	18	85	162	243	0	14	269	426	835	405	24	187	241	93	79	13	424	492	341	369
peak216	18	6	1	2	0	69	9	6	20	5	25	6	0	2	0	9	2	0	47	11
peak217	7	54	84	102	0	4	148	163	503	95	8	141	115	21	77	22	150	245	178	128
peak218	11	4	11	14	0	81	64	87	162	29	291	16	21	275	0	808	53	172	4345	30
peak219	1	0	0	1	0	5	8	8	12	4	13	1	0	3	0	40	10	23	123	5
peak220	0	0	0	0	0	0	3	8	3	0	9	0	0	10	0	5	5	20	100	3
peak221	2	15	39	42	0	5	53	70	75	54	1	16	23	8	20	6	72	157	13	88
peak222	7	3	9	8	0	18	16	27	230	17	6	2	13	6	0	13	23	33	43	19
peak223	5	0	0	7	0	89	17	14	821	4	7	0	1	1	0	58	29	45	67	5
peak224	25	1	0	8	0	42	9	9	387	5	16	2	3	1	0	62	16	26	38	5
peak225	49	0	3	4	0	151	7	15	602	7	35	4	0	2	0	268	13	27	64	5
peak226	34	2	14	23	0	69	49	50	430	35	33	9	1	2	26	26	39	84	59	38
peak227	103	22	37	117	0	195	126	178	576	121	87	34	21	27	5	83	167	419	130	132
peak228	91	12	21	55	0	192	96	134	826	83	61	16	16	13	0	52	145	231	259	83
peak229	322	23	27	181	0	460	139	157	1961	118	265	21	23	37	0	213	147	365	740	105
peak230	85	1	3	5	0	90	14	5	324	8	73	0	2	2	0	96	9	29	110	4
