control_input	control_input.1	control_input.2	control_input.3	control_input.4	control_IP	control_IP.1	control_IP.2	control_IP.3	control_IP.4	treatment_input	treatment_input.1	treatment_input.2	treatment_input.3	treatment_input.4	treatment_IP	treatment_IP.1	treatment_IP.2	treatment_IP.3	treatment_IP.4
peak34748	2	10	30	35	0	12	60	44	93	52	7	33	27	6	10	2	63	94	50	55
peak34749	14	18	46	65	0	6	77	73	218	59	26	37	49	16	10	2	82	160	76	74
peak34750	43	111	155	245	332	91	411	575	1302	405	25	180	129	54	4	18	535	875	717	424
peak34751	24	38	69	61	1238	65	185	280	240	157	55	96	54	60	9	68	177	252	213	171
peak34752	15	31	57	65	0	8	120	167	91	116	14	75	59	31	9	0	137	205	172	112
peak34753	8	21	33	49	0	2	76	101	72	74	2	42	26	5	0	0	69	147	8	73
peak34754	1	1	4	7	0	3	43	49	55	61	0	4	15	4	0	0	59	169	30	72
peak34755	11	10	16	23	0	85	181	228	444	296	4	4	9	2	0	14	194	267	131	331
peak34756	5	5	3	5	0	3	57	61	27	14	7	11	32	9	0	0	67	172	30	6
peak34757	1	1	1	6	0	1	53	60	58	9	6	2	26	4	0	12	88	287	91	16
peak34758	4	7	2	3	0	13	167	186	77	44	13	6	28	5	0	11	241	583	106	57
peak34759	13	60	100	63	1	39	331	523	334	339	1	76	46	2	24	0	513	680	37	393
peak34760	31	57	113	107	3	118	526	983	954	636	12	86	54	10	0	7	789	1060	116	651
peak34761	68	66	97	91	0	200	363	576	1152	449	20	112	49	7	0	48	345	722	147	478
peak34762	72	170	260	230	391	262	685	1092	2330	796	20	234	73	43	0	57	941	1060	563	810
peak34763	70	63	101	160	0	51	97	153	210	108	37	127	46	32	1	8	82	133	87	88
peak34764	45	68	84	115	0	61	113	149	147	152	6	83	36	11	0	0	96	152	25	172
peak34765	23	61	81	106	0	36	47	84	85	52	10	89	44	13	0	0	59	84	10	62
peak34766	10	39	64	36	0	17	132	210	664	117	4	56	20	5	0	0	152	214	111	142
peak34767	218	161	217	606	3	1679	1300	1552	4719	1145	69	271	97	62	75	393	1312	2445	2091	1086
peak34768	95	45	60	221	0	171	135	149	879	110	11	82	30	15	32	18	126	170	125	108
peak34769	160	27	44	147	1	475	209	269	2373	140	27	68	15	22	0	131	199	416	472	166
peak34770	130	150	181	757	0	366	886	1068	6439	889	32	218	109	140	12	39	908	1758	2912	838
peak34771	19	4	5	23	0	8	11	28	106	28	4	3	3	18	0	9	12	22	111	18
peak34772	27	27	95	143	1	36	109	226	172	280	35	42	59	442	0	13	205	261	649	317
peak34773	3	42	98	26	1	2	36	101	16	59	0	82	41	10	0	0	42	57	3	47
peak34774	7	41	149	21	0	5	73	96	10	90	2	63	72	9	0	0	107	120	14	116
peak34775	0	59	89	11	0	0	61	110	5	82	0	62	22	5	44	7	92	66	10	84
peak34776	0	40	99	157	0	0	89	108	119	164	1	85	52	25	41	5	82	157	12	71
peak34777	3	27	55	41	0	0	56	110	75	115	2	40	57	4	0	0	60	136	6	127
peak34778	7	0	0	0	0	119	2	1	2	4	5	0	0	1	0	87	1	10	20	1
peak34779	1	3	7	13	0	6	9	26	73	12	1	3	0	7	0	0	18	6	68	17
peak34780	17	8	12	32	0	18	9	19	59	21	5	15	3	40	0	1	15	10	92	13
peak34781	13	7	5	20	0	17	31	40	74	18	0	11	0	12	0	5	39	28	21	41
peak34782	6	6	7	13	0	7	31	38	84	45	0	9	2	3	0	0	18	25	34	25
peak34783	25	38	38	182	0	62	68	100	1563	314	12	17	13	69	0	3	66	105	633	315
peak34784	1	24	28	75	0	24	105	213	763	354	0	19	10	35	0	0	119	149	240	456
peak34785	5	7	13	28	0	23	29	78	86	43	4	16	12	11	0	0	37	69	78	49
peak34786	7	12	34	26	0	17	92	127	132	85	2	27	28	9	46	6	79	188	143	87
peak34787	36	21	40	49	0	36	103	145	106	122	7	44	51	36	7	40	113	234	51	128
peak34788	53	2	2	1	0	302	30	24	11	22	13	2	6	1	0	63	34	38	46	28
peak34789	84	1	6	19	0	2208	14	62	606	23	24	0	2	13	0	378	40	110	760	25
peak34790	8	0	1	6	0	126	11	19	36	3	1	0	0	2	0	4	8	15	20	2
peak34791	0	1	14	24	0	4	16	33	87	8	0	1	2	4	0	0	28	32	43	8
peak34792	2	0	2	8	0	12	9	19	108	4	0	1	0	0	0	0	3	12	28	3
peak34793	0	0	1	15	0	9	7	21	107	7	0	0	0	0	0	0	10	11	24	6
peak34794	2	2	10	7	0	1	18	63	92	16	1	6	1	2	0	1	13	42	27	9
peak34795	6	56	81	93	0	16	131	172	473	164	3	72	66	128	0	5	146	273	780	172
peak34796	2	21	42	18	0	3	83	154	69	69	1	58	55	10	72	0	110	197	70	88
peak34797	7	31	38	22	0	13	107	139	121	79	5	76	72	5	0	4	127	185	98	97
peak34798	7	39	63	73	0	10	73	103	121	46	8	113	65	105	0	2	99	208	184	67
peak34799	25	80	147	160	987	20	332	375	222	138	11	161	361	112	79	9	379	641	201	223
peak34800	3	59	89	149	253	0	95	154	61	57	2	104	143	48	142	0	122	238	12	78
peak34801	7	85	156	139	1050	1	96	156	82	79	3	141	212	30	87	8	141	219	16	73
peak34802	6	128	289	229	871	8	378	473	323	175	9	238	417	69	378	3	422	611	92	206
peak34803	16	51	103	139	911	6	268	426	292	147	10	176	203	38	218	2	349	521	96	200
peak34804	1	0	0	0	0	18	0	2	0	0	5	0	0	0	0	48	0	2	6	0
peak34805	7	42	64	140	0	14	36	89	77	55	1	56	42	96	113	4	65	126	67	37
peak34806	0	63	92	96	0	7	85	146	121	144	2	65	41	17	50	0	91	158	15	139
peak34807	2	41	108	57	0	0	80	147	89	133	2	60	31	8	18	0	70	86	10	120
peak34808	2	30	47	40	0	3	51	82	47	38	1	22	23	3	31	0	39	39	13	55
peak34809	0	23	33	9	0	1	45	101	26	58	0	34	5	1	25	0	52	60	3	64
peak34810	11	0	0	0	0	84	0	0	1	0	8	0	0	0	0	100	1	4	9	0
peak34811	57	3	8	16	0	159	5	6	11	1	20	5	0	16	0	26	2	6	17	0
peak34812	8	28	10	1	1	38	137	128	9	90	1	26	2	2	0	4	119	172	3	96
peak34813	7	18	16	6	0	2	79	106	65	71	0	24	2	3	0	0	73	96	9	77
peak34814	1	9	34	18	646	1	48	75	22	42	2	25	26	6	0	0	49	126	15	47
peak34815	62	9	29	36	0	96	31	47	61	34	104	39	28	38	19	231	57	97	324	43
peak34816	14	26	48	69	1	8	161	211	163	78	6	115	95	13	0	13	179	440	96	99
peak34817	2	20	64	61	0	1	86	174	58	96	3	44	58	24	0	0	136	267	25	72
peak34818	7	0	0	0	0	111	1	1	3	0	7	0	0	0	0	212	2	2	11	1
peak34819	3	0	0	0	0	50	1	0	2	0	0	0	0	1	0	18	0	2	5	1
peak34820	12	1	2	1	0	172	0	0	0	1	13	0	0	7	0	161	0	0	10	0
peak34821	5	0	0	1	0	15	1	1	0	0	23	1	0	3	0	470	2	0	9	2
peak34822	5	0	1	0	0	13	0	0	1	1	6	0	1	3	0	31	1	0	1	0
peak34823	5	2	0	0	0	109	4	2	0	1	1	0	1	0	0	64	0	0	11	0
peak34824	8	63	211	23	589	43	775	1444	464	818	1	23	28	3	113	0	734	1258	145	798
peak34825	11	6	39	1	0	21	87	255	6	167	6	7	4	0	0	6	147	208	10	246
peak34826	7	44	183	12	1	25	292	648	62	271	2	14	31	0	40	2	440	597	36	322
peak34827	5	8	33	1	0	18	56	94	12	23	9	6	10	0	0	17	52	94	18	55
peak34828	5	0	0	3	0	51	0	2	9	1	91	0	0	6	0	463	1	4	50	0
peak34829	1	0	0	0	0	34	6	0	1	0	14	0	0	0	0	229	1	2	22	2
peak34830	9	18	28	3	0	13	47	91	22	78	3	29	23	7	0	4	61	63	17	74
peak34831	1	69	113	13	0	7	71	162	18	109	8	89	53	9	9	0	86	131	10	99
peak34832	14	5	9	4	0	16	17	22	81	15	7	11	4	0	0	26	33	22	49	9
peak34833	9	3	1	5	0	36	106	120	115	127	18	5	8	3	0	47	128	227	42	71
peak34834	5	123	391	154	1	23	691	1329	765	863	2	207	288	8	63	24	975	1781	105	954
peak34835	3	54	128	69	0	0	109	246	171	147	0	44	22	1	35	0	115	144	2	168
peak34836	27	42	114	42	0	31	83	237	144	102	0	25	8	4	0	5	116	174	11	86
peak34837	8	19	85	11	0	0	52	104	26	47	1	30	16	1	0	0	54	58	2	65
peak34838	5	9	36	4	0	19	70	110	162	58	0	6	3	0	0	3	59	96	8	66
peak34839	2	50	93	25	2	14	314	517	80	415	0	24	11	1	60	1	260	434	3	448
peak34840	48	0	1	0	0	1155	51	46	0	17	14	6	4	0	0	587	71	109	10	5
peak34841	1	0	2	0	0	0	31	38	5	15	0	3	19	0	0	0	43	164	52	2
peak34842	1	17	30	11	1	1	79	116	57	105	0	10	12	4	0	12	99	119	18	107
peak34843	27	0	1	1	0	129	2	2	13	1	7	1	3	0	0	49	3	8	13	3
peak34844	42	1	4	5	0	635	5	8	13	14	12	2	0	3	0	382	24	32	74	15
peak34845	9	61	86	14	2	24	206	311	41	190	4	66	46	12	15	0	252	333	26	224
peak34846	0	37	72	11	0	22	176	266	17	153	4	33	31	2	22	4	155	271	12	183
peak34847	7	4	1	0	0	88	1	6	1	0	9	2	1	4	49	128	3	6	5	1
peak34848	15	208	386	198	498	25	162	337	131	237	0	43	42	11	71	0	178	218	7	211
peak34849	6	91	174	75	0	5	74	108	71	102	0	32	21	0	36	0	102	96	6	49
peak34850	15	142	233	117	0	2	65	129	22	92	0	26	13	1	88	0	69	85	2	74
peak34851	136	3	9	19	0	2752	23	26	145	38	12	6	3	17	0	143	38	11	122	19
peak34852	86	0	3	1	0	2280	7	9	53	7	8	0	0	2	0	484	8	17	100	9
peak34853	20	31	61	22	136	38	326	423	211	330	7	54	36	6	46	4	262	723	91	359
peak34854	138	8	16	57	0	185	19	35	73	29	7	4	6	144	0	56	18	35	283	45
peak34855	11	77	203	26	0	23	309	520	112	299	2	113	163	27	43	4	384	697	77	412
peak34856	0	37	105	17	1	6	147	236	100	166	6	73	89	19	43	3	166	368	73	179
peak34857	5	86	188	20	0	6	92	145	50	183	3	78	118	16	73	1	112	193	17	159
peak34858	19	77	168	14	255	12	83	129	10	84	5	60	166	12	29	0	112	178	7	73
peak34859	13	61	167	22	1	2	88	182	10	117	2	66	124	22	0	0	108	157	1	125
peak34860	22	94	143	60	0	15	205	211	38	241	8	99	182	26	71	5	191	440	20	244
peak34861	39	136	267	111	0	117	745	986	303	759	13	206	242	192	40	3	826	1867	714	732
peak34862	21	72	128	56	2	3	234	472	51	284	2	104	134	11	30	1	242	589	10	314
peak34863	4	69	126	75	0	6	140	206	68	146	0	95	128	16	24	1	159	313	9	176
peak34864	14	99	185	125	0	5	105	206	165	130	2	100	162	30	80	0	92	180	23	166
peak34865	16	89	178	85	0	1	111	208	91	149	2	86	208	9	0	9	128	271	13	173
peak34866	51	65	90	141	299	75	191	293	400	197	9	82	100	33	45	5	214	591	114	169
peak34867	9	24	32	30	0	50	80	134	149	72	5	25	40	48	28	6	94	233	43	77
peak34868	11	59	130	117	0	13	118	141	62	94	0	93	147	29	0	1	102	226	46	109
peak34869	8	138	248	260	1	9	409	524	462	534	1	157	252	60	51	2	448	749	237	513
peak34870	7	1	0	1	0	76	11	8	3	7	7	1	5	3	0	114	18	49	33	10
peak34871	1	0	0	0	0	14	0	1	6	0	4	0	0	0	0	57	0	4	16	1
peak34872	7	0	0	0	0	208	3	3	5	0	7	0	0	0	0	114	2	4	10	0
peak34873	59	1	0	4	0	397	3	9	15	15	17	6	2	7	0	77	9	9	37	1
peak34874	1	16	33	46	0	0	109	156	215	205	0	26	27	1	0	2	105	210	27	239
peak34875	4	7	36	8	0	0	20	73	7	30	2	16	8	2	0	0	26	47	2	35
peak34876	6	22	71	57	0	6	31	82	28	23	0	8	19	5	8	0	27	44	9	44
peak34877	0	15	18	32	0	0	42	64	45	71	0	13	9	1	19	1	49	60	2	60
peak34878	3	18	30	34	0	0	103	237	402	234	0	7	29	2	0	0	113	267	2	275
peak34879	7	54	59	182	0	30	188	221	1766	399	0	5	6	4	7	4	165	180	86	470
peak34880	4	26	18	85	0	4	296	355	1517	576	0	2	2	1	0	4	244	258	87	746
peak34881	2	68	53	73	0	0	101	128	497	169	0	1	4	1	0	5	91	108	16	232
peak34882	70	14	3	6	0	615	39	24	20	57	95	24	13	10	0	646	35	139	36	37
peak34883	38	1	0	2	1	742	16	8	9	14	59	2	0	6	0	943	23	67	48	13
peak34884	58	3	1	1	0	180	10	17	20	1	150	7	1	20	0	341	17	18	56	9
peak34885	14	16	37	3	0	18	69	107	70	60	9	36	18	2	0	8	49	91	1	77
peak34886	78	9	11	9	0	840	30	37	27	21	99	6	6	6	0	928	47	51	26	23
peak34887	28	54	110	10	2	254	843	1472	244	903	31	51	69	4	34	227	1000	2195	314	985
peak34888	50	5	6	7	0	219	20	13	29	15	39	1	9	9	0	25	10	57	57	14
peak34889	8	0	0	0	0	237	6	5	0	4	8	0	0	0	0	353	8	4	11	2
peak34890	4	2	0	0	0	30	1	4	1	0	0	1	0	0	0	45	5	12	3	1
peak34891	4	0	0	1	0	108	5	10	4	1	2	2	1	3	0	399	14	23	29	2
peak34892	1	0	0	0	0	32	0	1	1	0	5	0	0	0	0	49	0	10	0	0
peak34893	44	2	2	15	0	163	8	11	29	5	18	1	3	10	0	40	13	23	15	16
peak34894	30	86	100	120	1	144	328	454	616	397	13	112	69	49	20	10	350	456	665	464
peak34895	27	108	144	191	0	95	276	474	372	290	4	149	65	128	55	19	298	439	516	342
peak34896	4	78	77	20	0	5	84	151	17	119	2	90	59	11	0	0	109	173	14	131
peak34897	18	105	344	27	0	35	277	486	72	190	3	35	56	7	35	1	331	448	6	183
peak34898	2	72	175	12	1	3	64	174	5	43	1	27	39	7	49	0	99	134	3	49
peak34899	12	116	399	35	0	97	608	1287	197	394	0	72	70	1	44	3	608	1123	64	472
peak34900	18	215	628	62	6	92	838	1847	281	636	0	111	140	2	37	10	775	1429	30	756
peak34901	1520	33	59	116	1	35244	259	584	2593	244	341	19	29	44	0	7346	297	790	1285	300
peak34902	13	46	101	7	0	4	64	111	5	37	0	20	19	0	0	0	53	108	1	30
peak34903	9	15	55	3	0	7	61	75	12	26	0	4	14	1	0	0	49	109	6	26
peak34904	1	0	3	0	0	37	0	0	3	0	4	0	0	1	0	38	0	1	21	2
peak34905	3	51	84	5	0	3	26	64	0	1	10	87	27	2	0	6	36	41	1	3
peak34906	4	60	92	3	0	0	40	83	3	2	1	50	18	0	0	0	46	38	0	1
peak34907	15	61	100	14	0	22	126	207	35	20	0	71	17	1	0	12	117	182	10	19
peak34908	3	37	56	2	0	0	45	62	0	1	7	54	4	0	0	0	43	38	0	8
peak34909	1	49	147	43	2	3	154	308	59	229	0	17	31	24	0	0	204	329	58	222
peak34910	1	28	62	4	0	14	71	145	21	107	2	11	31	3	4	2	72	137	8	118
peak34911	22	5	6	0	0	246	12	24	0	27	0	1	1	5	60	32	12	32	29	23
peak34912	6	50	130	21	1	0	56	122	7	61	0	14	44	9	62	0	66	77	1	53
peak34913	10	126	251	14	698	10	161	291	21	294	4	34	65	9	109	0	184	263	13	349
peak34914	3	1	2	2	0	81	0	5	4	2	0	0	1	0	0	4	0	5	0	1
peak34915	17	38	51	24	0	33	68	156	72	121	0	2	7	3	15	0	47	66	2	137
peak34916	20	87	104	36	0	9	63	120	18	104	0	6	12	1	0	0	66	92	0	122
peak34917	23	84	91	4	0	18	56	108	7	87	2	11	22	5	80	0	52	82	11	88
peak34918	7	57	85	49	0	19	84	176	101	186	0	8	9	2	1	0	88	103	2	213
peak34919	1	37	37	10	0	14	82	102	44	134	0	2	2	0	0	0	107	78	7	101
peak34920	30	74	137	39	678	246	1136	1339	1503	941	8	161	147	19	63	344	1521	3130	1313	923
peak34921	3	18	32	7	0	11	24	49	12	24	0	35	24	1	0	5	63	80	4	34
peak34922	8	52	73	10	0	0	96	128	6	77	2	96	97	4	0	0	70	176	3	88
peak34923	1	63	100	5	0	3	155	244	12	107	1	112	105	5	87	0	200	312	4	126
peak34924	20	5	9	6	0	86	13	16	4	14	47	8	5	21	0	132	10	21	31	10
peak34925	10	9	33	5	0	3	26	67	1	21	6	91	53	22	0	0	28	67	3	13
peak34926	17	29	59	11	0	116	110	106	23	84	8	78	46	10	17	43	113	230	52	52
peak34927	88	23	32	11	0	410	151	192	98	71	34	96	47	35	14	91	146	388	196	81
peak34928	16	0	2	3	1	41	0	0	1	0	49	0	0	4	0	951	2	14	16	2
peak34929	20	34	82	137	1	105	163	309	880	308	7	76	96	27	64	40	280	439	336	260
peak34930	9	156	376	239	1	16	222	357	491	209	2	314	117	10	88	2	277	370	60	273
peak34931	7	85	197	145	1	26	501	883	730	523	1	201	75	6	109	1	699	780	103	601
peak34932	1	68	134	72	0	13	108	231	258	119	0	158	51	4	62	0	136	191	29	138
peak34933	5	66	104	57	662	4	99	149	111	78	0	113	36	4	120	0	92	130	3	82
peak34934	15	72	149	100	0	0	67	114	93	59	9	174	69	11	16	0	84	99	5	69
peak34935	1	70	165	71	1	8	128	278	52	127	3	149	57	2	40	0	170	281	4	154
peak34936	3	12	35	4	0	7	26	76	1	24	0	29	4	0	0	0	42	86	2	32
peak34937	6	63	120	44	686	0	85	164	116	79	2	162	59	1	2	0	76	149	3	102
peak34938	20	2	4	0	304	97	6	5	2	0	6	17	2	0	0	42	2	10	3	0
peak34939	11	0	0	1	0	52	0	6	3	2	1	0	0	0	0	48	3	9	12	0
peak34940	1	0	0	0	0	52	1	3	0	1	1	1	1	0	0	69	2	3	4	2
peak34941	0	32	73	73	489	0	84	95	99	204	0	27	68	15	0	0	120	111	12	128
peak34942	111	2	1	3	0	2750	13	15	15	15	230	1	6	12	0	6392	25	74	5	11
peak34943	12	0	0	0	0	43	0	1	5	1	6	0	0	1	0	84	1	4	24	0
peak34944	1	15	22	5	0	14	24	71	15	36	0	9	4	1	0	0	49	64	1	44
peak34945	1	8	34	6	0	7	81	178	21	113	0	12	7	2	0	11	93	92	6	112
peak34946	0	27	65	10	2	1	74	119	3	120	2	35	34	2	31	0	121	148	11	114
peak34947	1	87	216	3	657	8	395	607	39	567	8	107	86	4	113	1	461	598	31	464
peak34948	4	6	11	4	459	18	58	100	17	50	0	18	6	1	23	5	81	166	17	71
peak34949	8	83	191	84	1111	5	922	1409	384	1730	2	212	86	7	56	6	1224	1301	31	2154
peak34950	2	90	178	229	2	4	231	298	267	407	4	183	86	24	161	8	318	363	24	435
peak34951	2	156	251	29	3	9	591	767	124	482	0	248	142	15	234	7	692	908	55	447
peak34952	2	79	118	16	455	13	513	753	106	304	0	139	86	4	64	6	603	764	104	343
peak34953	0	44	65	7	0	4	71	67	1	21	2	101	71	4	96	0	37	99	0	18
peak34954	13	0	2	2	0	30	3	1	2	0	40	1	9	6	0	671	3	7	9	1
peak34955	2	0	1	1	0	4	0	0	0	0	3	1	0	0	0	81	0	1	0	0
peak34956	49	0	1	3	0	1361	22	41	15	13	29	0	3	9	0	964	30	135	75	13
peak34957	10	16	72	13	0	21	155	432	113	286	0	13	5	1	0	0	198	261	7	425
peak34958	0	8	27	57	0	1	19	76	267	24	0	0	0	1	0	0	27	44	22	55
peak34959	6	41	111	35	0	20	137	279	79	197	1	21	21	3	27	0	144	174	3	207
peak34960	0	138	439	229	2	8	199	406	329	416	0	47	45	20	47	0	214	260	5	456
peak34961	2	0	0	0	0	125	0	0	8	1	6	0	0	4	0	198	2	10	57	0
peak34962	1	0	0	0	0	10	1	1	4	7	2	0	0	1	0	186	3	0	0	0
peak34963	5	0	0	0	0	43	0	0	0	1	10	0	1	1	0	58	0	2	7	0
peak34964	8	0	0	1	0	192	1	1	2	14	30	0	0	4	0	597	1	12	71	8
peak34965	17	51	136	121	0	50	90	127	74	99	15	40	95	37	0	2	101	218	39	75
peak34966	196	100	254	244	318	600	208	452	225	267	62	63	194	226	55	68	240	565	219	232
peak34967	0	3	9	1	0	8	20	67	1	22	2	11	9	3	40	1	21	50	11	23
peak34968	10	1	2	2	0	73	0	1	1	0	3	3	0	0	0	6	1	0	2	0
peak34969	4	1	1	3	0	31	3	6	78	1	2	1	0	4	0	59	8	6	61	0
peak34970	0	16	17	16	0	1	78	87	142	76	0	3	4	2	0	0	44	67	8	58
peak34971	4	0	0	7	0	15	0	0	19	3	8	1	0	272	0	24	0	0	454	1
peak34972	5	0	1	1	0	111	1	1	3	3	0	0	0	0	0	48	4	7	7	2
peak34973	12	176	322	43	276	9	242	399	58	243	1	122	91	16	160	0	240	277	23	275
peak34974	3	27	59	44	1	5	261	370	332	325	0	30	19	4	170	3	334	360	79	279
peak34975	8	56	137	26	0	2	145	251	25	146	2	108	80	17	107	0	198	213	19	179
peak34976	54	236	404	835	2	255	2060	3254	15801	3532	5	178	169	30	1	11	2147	3689	516	3701
peak34977	2	2	18	12	1	6	22	56	31	32	1	15	18	1	11	4	22	64	7	29
peak34978	1	9	30	6	0	6	17	60	18	31	3	22	5	1	0	0	30	35	2	35
peak34979	10	0	0	0	0	301	0	1	1	0	0	0	0	1	0	62	0	7	12	1
peak34980	1	0	0	0	0	62	0	3	3	3	2	0	0	0	0	8	0	2	3	0
peak34981	3	0	0	1	0	58	3	2	25	0	1	0	0	55	0	38	4	12	1049	1
peak34982	1	0	0	0	0	7	0	3	6	1	10	2	0	3	0	122	2	0	122	4
peak34983	111	1	0	4	0	2571	8	15	21	13	14	2	0	4	0	496	28	74	162	20
peak34984	2	4	10	4	1	10	62	76	138	107	0	13	0	1	0	0	52	96	43	101
peak34985	0	18	35	58	0	5	83	167	363	101	1	22	21	17	0	0	111	184	70	91
peak34986	1	0	4	0	0	0	33	40	1	2	0	0	2	0	0	0	26	90	3	4
peak34987	30	1	8	0	0	921	45	103	26	5	94	0	6	0	0	2344	62	281	18	5
peak34988	20	2	10	1	0	670	26	122	23	5	42	0	3	1	0	1453	23	220	37	3
peak34989	1	0	0	0	0	31	0	1	7	0	4	0	2	0	0	74	0	2	51	3
peak34990	1	8	10	0	0	1	42	71	5	10	0	2	37	2	0	0	57	136	17	8
peak34991	4	0	0	0	0	86	1	0	6	0	2	0	0	0	0	68	2	0	10	1
peak34992	2	60	88	39	0	1	216	315	80	315	1	57	78	2	32	6	250	410	4	330
peak34993	4	48	82	19	0	11	156	242	100	170	3	32	57	2	117	3	206	330	17	198
peak34994	131	1	3	15	0	3132	51	60	168	67	71	5	6	4	0	1947	104	353	328	63
peak34995	5	0	0	0	0	190	1	5	2	0	6	0	2	1	0	141	3	2	24	2
peak34996	0	0	0	0	0	10	0	0	0	0	4	0	0	0	0	147	1	2	6	0
peak34997	2	0	0	0	0	68	0	4	12	2	2	0	0	0	0	133	0	10	12	1
peak34998	351	3	1	12	0	5946	53	71	38	58	140	3	6	32	0	2990	139	317	283	57
peak34999	0	0	0	0	0	20	9	12	2	0	5	0	7	1	0	42	29	82	5	0
peak35000	19	1	0	0	0	533	4	8	0	4	1	0	1	0	0	100	5	28	10	2
peak35001	1	0	0	0	0	4	0	1	0	0	3	0	0	0	0	78	1	6	3	0
peak35002	0	0	1	0	0	10	0	0	0	1	4	0	0	0	0	53	0	0	25	0
peak35003	7	0	0	0	0	134	1	2	7	0	33	0	0	0	0	1203	8	6	41	1
peak35004	58	0	0	0	0	1250	0	6	80	5	24	1	1	23	0	981	0	16	1122	4
peak35005	4	18	62	6	0	19	53	136	2	37	0	2	9	1	0	0	60	51	2	45
peak35006	10	2	8	10	1	17	40	39	48	44	5	5	1	2	0	0	40	87	21	35
peak35007	0	0	0	0	0	16	0	0	2	2	1	0	0	0	0	66	0	2	3	0
peak35008	7	120	289	79	866	3	320	520	282	661	4	111	102	23	55	7	409	498	160	540
peak35009	0	0	0	1	0	4	0	0	2	0	0	0	0	0	0	76	0	0	2	1
peak35010	3	1	0	0	0	65	8	3	1	14	10	0	1	3	0	100	7	5	30	9
peak35011	5	0	0	1	0	115	1	4	1	2	7	0	0	0	0	82	1	12	13	0
peak35012	2	0	0	0	0	1	0	0	0	0	6	0	0	3	0	66	1	2	1	0
peak35013	10	0	0	1	0	264	2	4	5	4	3	0	0	1	0	152	1	7	19	1
peak35014	5	0	0	0	0	74	0	1	3	0	3	0	0	0	0	35	1	14	11	4
peak35015	0	0	0	0	0	5	0	1	0	0	3	0	0	0	0	89	0	0	2	0
peak35016	7	0	0	3	0	200	33	32	16	11	11	0	9	4	0	68	52	214	49	10
peak35017	0	0	0	0	0	14	0	0	1	0	5	0	0	0	0	64	2	1	3	0
peak35018	31	0	2	2	0	445	1	5	32	6	295	0	0	2	0	6716	3	8	390	4
peak35019	13	0	1	0	0	145	6	4	16	8	9	3	0	6	0	213	4	22	106	8
peak35020	0	26	39	2	0	3	60	132	7	128	0	3	23	5	0	0	54	89	6	86
peak35021	1	31	57	50	1384	15	177	273	590	561	1	11	24	3	1	0	236	321	55	522
peak35022	6	3	9	4	0	33	23	29	89	33	3	7	3	2	5	39	42	93	84	19
peak35023	2	0	0	1	0	41	2	2	0	5	5	1	1	0	0	88	5	7	23	3
peak35024	356	6	4	10	0	7031	113	155	253	115	1786	7	36	9	0	40219	171	702	758	80
peak35025	10	0	0	2	0	89	0	0	3	0	0	0	0	2	0	8	0	4	5	1
peak35026	2	13	17	9	1	9	164	284	190	623	0	9	2	16	0	6	203	199	412	610
peak35027	0	6	21	4	0	5	103	162	120	248	0	6	1	8	0	0	119	114	187	261
peak35028	4	18	31	43	0	10	158	285	215	193	4	46	25	15	0	2	217	259	57	226
peak35029	19	334	514	488	0	39	328	641	488	246	0	27	15	15	65	0	333	317	20	210
peak35030	9	365	475	386	0	5	271	450	345	137	0	21	9	6	36	0	203	207	5	171
peak35031	54	710	993	454	1	35	317	497	150	156	5	29	27	19	215	0	335	260	9	117
peak35032	31	175	212	100	0	37	59	82	16	17	0	7	14	14	88	0	60	47	0	7
peak35033	171	604	837	217	1	610	1315	2157	783	796	2	35	45	23	159	0	1278	1146	85	767
peak35034	941	7	11	13	0	15498	131	146	173	205	429	6	9	41	0	7209	236	235	1376	185
peak35035	5	17	32	44	0	17	146	234	278	165	1	24	25	17	0	9	142	208	108	168
peak35036	1	6	11	27	0	13	22	55	85	42	2	0	17	2	0	0	35	94	1	44
peak35037	3	0	0	0	0	39	1	1	6	0	0	0	0	0	0	146	1	3	12	0
peak35038	32	13	21	10	0	106	67	89	17	79	62	13	31	31	0	169	99	139	77	76
peak35039	10	10	21	1	0	28	240	298	39	182	8	16	1	2	0	25	295	344	28	285
peak35040	30	10	16	5	0	68	78	119	64	85	9	18	3	0	0	32	95	135	62	84
peak35041	73	420	554	1086	438	42	643	838	331	378	92	648	570	526	439	22	835	851	178	380
peak35042	6	98	228	83	0	22	419	690	415	608	10	100	86	24	69	29	510	866	83	725
peak35043	4	21	31	5	0	0	155	182	63	281	0	14	8	2	37	1	158	164	28	240
peak35044	1	13	26	5	0	0	26	72	5	54	2	12	7	3	0	1	44	33	5	60
peak35045	8	5	17	3	0	18	122	174	217	151	1	5	1	2	26	13	147	237	117	197
peak35046	0	2	1	4	0	0	33	52	62	47	0	6	8	2	0	0	24	40	13	49
peak35047	5	21	29	16	0	46	112	151	149	135	1	11	12	4	0	16	84	129	33	158
peak35048	3	16	24	30	1	0	109	136	418	300	0	4	4	2	10	0	93	139	96	323
peak35049	2	72	130	57	0	0	48	80	35	132	0	52	18	32	47	0	58	68	6	116
peak35050	1	0	0	0	0	28	1	0	4	0	0	0	0	1	0	61	3	0	9	5
peak35051	2	0	0	0	0	38	0	1	2	0	3	0	0	0	0	96	0	1	0	0
peak35052	3	0	0	0	0	40	2	1	1	1	5	0	0	0	0	64	1	0	6	1
