control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak294	27	35	164	131	37	54	198	148
peak295	15	15	75	62	8	13	92	58
peak296	91	75	354	304	123	120	388	355
peak297	27	27	100	98	56	34	122	111
peak298	30	42	145	118	53	50	177	157
peak299	31	48	129	110	48	38	164	140
peak300	20	34	96	93	28	35	156	122
peak301	40	49	137	122	54	55	157	108
peak302	60	60	261	205	81	95	257	226
peak303	30	37	139	123	58	34	181	124
peak304	86	98	463	773	102	117	444	498
peak305	212	264	525	388	295	316	609	506
peak306	142	183	170	148	194	213	196	165
peak307	13	21	103	116	33	32	122	106
peak308	24	19	62	47	39	49	104	71
peak309	5	9	64	95	13	7	73	87
peak310	26	18	98	81	34	36	108	89
peak311	22	26	94	92	24	35	95	91
peak312	567	568	3812	3370	578	611	2988	2632
peak313	21	17	83	82	14	9	47	41
peak314	22	33	66	61	29	21	75	64
peak315	25	40	226	207	27	41	254	221
peak316	25	34	257	321	21	15	151	125
peak317	14	25	122	110	19	21	78	52
peak318	182	217	986	979	136	131	579	484
peak319	163	151	643	646	92	84	337	308
peak320	136	138	641	596	108	96	337	298
peak321	725	712	3307	3053	560	500	1988	1611
peak322	171	188	1086	1004	135	106	670	500
peak323	103	136	534	522	69	91	299	287
peak324	282	291	952	884	222	222	600	484
peak325	434	498	1901	1811	404	363	1221	1017
peak326	201	208	780	675	146	144	446	334
peak327	188	207	570	538	155	130	353	290
peak328	204	203	696	657	163	145	471	365
peak329	114	142	491	480	115	108	301	229
peak330	153	142	304	303	119	104	159	116
peak331	341	345	1159	1002	257	257	786	639
peak332	110	114	255	251	95	88	136	107
peak333	224	293	1020	972	215	202	622	481
peak334	220	246	1114	970	183	184	720	536
peak335	187	161	838	858	129	117	612	491
peak336	214	225	497	350	181	202	454	330
peak337	94	114	349	243	73	89	236	184
peak338	182	221	1285	1222	204	163	1043	884
peak339	110	112	648	605	129	121	483	421
peak340	144	130	674	536	141	139	607	445
peak341	0	0	0	0	0	0	0	0
peak342	21	13	77	70	27	18	50	62
peak343	45	35	256	226	36	53	245	158
peak344	18	17	107	122	11	7	65	53
peak345	170	148	503	504	112	139	380	333
peak346	100	90	296	293	86	74	241	184
peak347	101	83	233	207	73	60	203	160
peak348	79	113	209	169	80	91	159	111
peak349	294	298	1078	961	320	384	958	923
peak350	318	367	2193	2019	391	396	1882	1549
peak351	74	44	191	148	28	43	119	82
peak352	83	72	225	229	37	57	109	83
peak353	191	209	526	491	234	234	537	488
peak354	15	18	77	57	15	13	77	51
peak355	175	171	523	497	119	90	308	237
peak356	55	82	219	400	58	43	181	128
peak357	97	126	220	199	113	116	207	186
peak358	88	133	477	395	134	119	391	297
peak359	104	132	298	214	112	101	257	188
peak360	54	68	199	174	50	34	114	77
peak361	100	100	456	421	132	117	437	280
peak362	16	14	73	43	31	25	103	41
peak363	11	15	78	52	14	16	110	64
peak364	13	24	108	87	13	31	132	83
peak365	11	6	43	32	23	18	53	48
peak366	9	9	57	78	20	11	72	46
peak367	13	13	113	74	25	25	141	99
peak368	14	16	84	61	24	21	88	80
peak369	16	25	75	61	24	22	95	88
peak370	12	14	45	48	10	19	75	40
peak371	115	115	358	367	136	136	357	319
peak372	245	307	982	927	398	375	1122	946
peak373	35	50	52	91	84	77	57	54
peak374	22	25	107	91	22	30	119	76
peak375	12	11	87	88	15	17	74	50
peak376	122	101	435	359	99	78	288	183
