control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak523	3	3	63	39	2	1	68	22
peak524	13	6	86	60	6	5	56	26
peak525	29	10	202	148	9	2	121	56
peak526	8	2	36	30	3	2	38	12
peak527	8	4	121	87	9	0	97	49
peak528	18	6	272	191	10	4	138	116
peak529	8	6	37	21	1	1	23	11
peak530	10	4	88	81	8	3	43	38
peak531	52	16	189	79	36	7	129	52
peak532	18	8	58	45	23	6	93	41
peak533	9	3	100	58	1	2	63	30
peak534	8	5	203	22	5	2	343	182
peak535	88	38	301	142	56	9	189	62
peak536	174	60	700	356	84	24	451	254
peak537	31	13	106	44	19	4	43	23
peak538	90	33	514	181	35	13	277	164
peak539	40	14	98	102	18	12	67	49
peak540	26	12	131	47	11	7	81	46
peak541	14	11	123	85	19	4	98	29
peak542	8	2	27	18	4	0	39	9
peak543	20	3	35	25	12	1	47	16
peak544	6	1	44	6	2	0	213	137
peak545	17	3	87	31	3	3	78	33
peak546	12	3	91	35	7	3	120	30
peak547	49	18	384	195	27	14	373	145
peak548	49	14	177	116	22	6	164	45
peak549	23	7	106	44	9	2	102	34
peak550	15	4	169	72	13	3	129	38
peak551	39	10	113	33	16	3	82	25
peak552	2	3	42	39	2	0	24	25
peak553	0	0	35	1	1	0	161	49
peak554	85	33	1521	685	70	19	1470	412
peak555	51	15	104	48	24	1	83	20
peak556	255	94	1185	914	174	33	1137	341
peak557	165	61	378	280	77	26	351	98
peak558	202	65	1567	715	149	24	1290	312
peak559	1	1	43	10	0	2	54	19
peak560	9	7	24	10	2	0	18	19
peak561	0	0	33	4	0	0	73	60
peak562	0	0	39	3	0	0	134	84
peak563	11	10	58	9	9	4	117	15
peak564	55	20	150	56	38	9	116	23
peak565	12	7	54	68	11	3	46	41
peak566	6	5	19	21	3	2	18	13
peak567	14	5	34	42	7	1	49	20
peak568	17	7	182	165	11	2	136	92
peak569	62	27	206	87	20	15	321	132
peak570	20	5	110	47	13	1	117	31
peak571	10	3	21	10	5	1	61	24
peak572	35	15	109	51	14	4	99	37
peak573	42	15	301	112	32	6	306	107
peak574	23	8	111	55	25	3	199	118
peak575	1	1	17	18	3	0	81	24
peak576	39	26	20	7	26	11	109	26
peak577	108	57	288	207	79	20	425	167
peak578	36	18	203	95	25	8	152	54
peak579	40	6	83	50	20	4	69	25
peak580	30	17	184	76	8	7	205	126
peak581	167	46	956	227	82	27	722	199
peak582	35	12	325	100	18	8	183	81
peak583	32	6	102	36	7	2	55	27
peak584	31	9	119	62	12	2	94	42
peak585	91	32	514	183	47	18	323	106
peak586	38	28	788	284	20	5	486	144
peak587	63	21	340	218	30	9	394	155
peak588	40	21	199	100	26	6	107	52
peak589	17	10	83	77	17	4	72	31
peak590	12	9	133	44	9	4	143	86
peak591	4	0	195	7	2	0	169	102
peak592	30	11	127	75	13	0	101	43
peak593	19	4	182	41	12	2	98	39
peak594	41	17	516	99	22	6	521	122
peak595	3	2	23	18	3	0	40	17
peak596	26	9	68	61	11	1	70	25
peak597	89	48	1098	438	45	22	774	387
peak598	63	36	727	497	35	9	698	457
peak599	11	4	277	51	10	6	212	97
peak600	48	14	172	111	32	6	158	32
peak601	50	18	613	197	26	10	1060	463
peak602	39	13	171	108	27	3	130	44
peak603	2	0	6	4	1	0	28	16
peak604	7	2	56	41	1	0	56	24
peak605	36	11	147	39	23	4	181	45
peak606	1	0	16	7	2	0	10	10
peak607	5	1	23	5	1	0	15	3
peak608	39	8	113	21	25	5	100	12
peak609	88	28	555	293	35	14	327	184
peak610	30	12	28	43	5	3	22	14
peak611	12	5	156	94	4	3	63	65
peak612	3	2	35	7	2	1	102	43
peak613	7	2	149	47	2	1	147	53
peak614	0	1	15	0	0	0	43	14
peak615	1	0	13	1	1	0	19	10
peak616	170	42	189	60	64	18	242	74
peak617	9	4	70	26	1	0	53	28
peak618	9	4	57	22	4	2	23	18
peak619	26	10	202	88	15	4	124	51
peak620	38	15	1798	409	9	5	1016	303
peak621	43	17	432	192	32	7	512	177
peak622	60	21	191	101	42	5	171	64
peak623	9	1	68	52	5	1	76	28
peak624	5	2	36	10	2	1	21	8
peak625	2	2	30	18	0	0	20	8
peak626	7	3	45	24	3	1	53	26
peak627	4	8	101	116	6	4	109	65
peak628	54	23	94	83	49	6	160	93
peak629	1	1	9	2	1	0	23	14
peak630	3	1	36	5	0	1	95	34
peak631	15	7	63	90	10	4	60	25
peak632	7	3	58	8	13	2	138	69
peak633	4	4	37	34	8	2	69	42
peak634	27	11	147	54	24	5	317	87
peak635	71	14	301	61	26	6	243	43
peak636	15	1	85	25	4	4	136	84
peak637	44	13	156	30	26	4	96	45
peak638	3	0	12	8	5	0	13	18
peak639	10	6	57	8	3	2	57	24
peak640	13	4	27	11	4	2	24	16
peak641	5	1	31	4	0	0	65	29
peak642	15	9	110	27	10	3	128	30
peak643	48	19	113	73	32	7	117	43
peak644	34	14	433	214	24	18	471	331
peak645	34	11	524	176	35	6	444	112
peak646	10	2	96	11	8	2	173	137
peak647	190	64	277	189	127	15	282	100
peak648	0	2	14	3	2	0	61	33
peak649	21	11	421	178	5	5	419	187
peak650	2	3	5	0	2	0	57	19
peak651	7	1	31	22	5	1	53	18
peak652	14	6	117	85	14	4	164	55
peak653	31	11	326	116	12	1	249	67
peak654	7	3	39	27	2	2	28	15
peak655	41	19	349	166	26	6	262	126
peak656	27	8	62	31	19	6	137	51
peak657	53	10	257	70	23	2	302	89
peak658	94	37	617	412	71	17	700	172
peak659	147	66	2206	1042	93	22	2058	762
peak660	4	0	22	6	1	1	16	8
peak661	1	0	13	5	1	1	28	20
peak662	0	0	12	0	0	0	32	16
peak663	27	23	204	98	23	8	183	80
peak664	18	6	72	32	10	2	49	17
peak665	33	17	124	87	17	3	102	31
peak666	6	1	67	67	3	4	39	36
peak667	3	2	14	1	0	1	28	11
peak668	3	5	128	20	5	2	61	22
peak669	14	7	158	92	10	2	298	167
peak670	6	4	72	13	9	6	144	57
peak671	2	0	18	4	1	0	60	18
peak672	1	1	114	29	2	2	139	83
peak673	4	3	40	22	4	1	94	45
peak674	15	7	117	73	7	3	53	43
peak675	41	15	198	127	24	5	202	94
peak676	19	18	82	45	14	3	53	15
peak677	6	8	26	11	2	0	81	30
peak678	4	3	14	8	0	0	33	11
peak679	356	218	4636	998	236	39	13136	4261
peak680	3	2	54	48	2	2	88	22
peak681	3	0	74	70	1	0	27	12
peak682	39	20	182	96	23	9	141	50
peak683	25	8	99	23	15	6	166	43
peak684	8	16	116	49	15	6	104	27
peak685	26	17	214	185	27	5	132	73
peak686	26	12	64	35	14	6	52	16
peak687	22	6	81	40	6	1	50	17
