control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak315	568	50	1126	228	447	463	453	971
peak316	21	0	201	233	40	58	200	549
peak317	585	179	2780	1681	1003	1227	3305	5945
peak318	125	37	471	541	303	387	775	1695
peak319	364	14	2411	1282	1237	1543	2616	5360
peak320	39	0	106	31	27	39	114	149
peak321	2	0	45	36	17	17	80	149
peak322	78	0	526	131	398	558	692	1320
peak323	777	115	1499	1143	743	1009	1487	2552
peak324	5	0	17	1	136	190	263	548
peak325	10	0	57	39	278	423	691	1252
peak326	320	137	8511	5227	211	255	1700	3167
peak327	698	40	6246	2564	1136	1341	5792	9567
peak328	223	5	1119	362	1695	1784	8293	11291
peak329	3359	932	17627	9692	6977	8059	13374	25630
peak330	412	129	1846	1208	835	1001	2033	3372
peak331	64	10	334	259	194	219	443	756
peak332	102	58	632	391	349	347	799	1943
peak333	71	51	300	125	213	364	393	745
peak334	114	41	286	142	307	428	568	964
peak335	315	159	978	863	884	1159	1065	2206
peak336	15	0	264	252	54	75	274	412
peak337	13	40	205	83	69	85	184	234
peak338	89	43	1198	628	394	453	1054	1569
peak339	12	0	91	144	44	79	96	168
peak340	887	131	1987	699	693	941	1183	1920
peak341	279	69	1906	779	1497	1694	4379	8313
peak342	336	171	1962	921	1352	1478	2419	4139
peak343	603	143	3162	1931	2327	2354	4894	8666
peak344	339	137	6332	2964	775	1015	5127	9273
peak345	187	120	1763	493	365	408	1663	3245
peak346	264	40	1731	834	562	647	1875	2999
peak347	12	0	207	35	60	89	147	212
peak348	31	0	294	106	88	112	243	442
peak349	57	58	767	292	106	146	619	887
peak350	20	0	186	261	29	40	108	388
peak351	2809	465	18850	7423	6365	7789	28348	45623
peak352	1028	298	2461	1038	2363	2660	2129	3937
peak353	24	0	171	163	81	89	210	353
peak354	1756	399	4059	2676	3954	5282	5153	9916
peak355	108	1	1118	311	253	301	918	1477
peak356	59	65	517	252	194	199	484	939
peak357	848	254	2326	1466	1233	1601	1868	3741
peak358	1570	177	6542	4176	1152	1489	4969	9422
peak359	46	0	180	58	85	84	110	228
peak360	511	219	1840	851	1101	1240	1596	2322
peak361	8	0	65	3	38	56	126	251
peak362	85	0	246	34	65	77	222	375
peak363	190	90	311	421	450	499	413	822
peak364	356	138	884	962	485	601	1030	1942
peak365	97	78	273	158	150	216	270	536
peak366	125	39	493	363	592	625	352	751
peak367	75	0	340	103	128	177	583	1030
peak368	159	79	1216	546	402	586	904	1445
peak369	872	110	4532	1260	865	1091	3234	5676
peak370	213	64	956	389	1083	1202	1067	2173
peak371	1048	362	11371	5351	2241	2641	11378	18711
peak372	23	0	400	229	308	359	577	1608
peak373	2201	509	13141	7767	5556	6726	18156	34130
peak374	106	0	610	148	43	74	807	1036
peak375	52	0	501	105	71	86	508	791
peak376	1692	197	2202	1423	1738	2236	1994	3415
peak377	2425	474	10214	5707	3192	3825	5900	10356
peak378	32	0	231	169	47	65	213	328
peak379	1816	255	3933	2474	3722	4710	4285	7912
peak380	440	150	1039	705	504	572	570	1302
peak381	446	97	808	211	508	714	668	1216
peak382	765	256	5542	2460	2618	2901	5779	9462
peak383	70	0	367	35	162	190	257	573
peak384	448	179	1103	571	923	1081	1823	2958
peak385	1413	255	5858	2913	3625	3980	6002	12560
peak386	10	3	290	42	63	63	143	256
peak387	70	0	743	294	123	157	598	886
peak388	59	0	215	110	357	430	392	697
peak389	417	54	2247	1366	493	565	1624	2193
peak390	156	72	977	331	532	590	835	1500
peak391	552	200	3581	2034	1672	1890	3396	5809
peak392	132	49	257	274	422	509	693	1175
peak393	512	152	2247	686	2258	2533	3187	5535
peak394	184	0	3101	1481	1007	1306	10393	18075
peak395	610	145	2883	2171	857	957	1440	3293
peak396	26	0	55	132	75	76	129	246
peak397	13	0	81	56	77	121	208	334
peak398	489	45	2390	1637	481	477	1241	2294
peak399	234	304	1816	1165	864	1095	1057	2208
peak400	697	262	1956	848	1253	1636	1096	2396
peak401	710	100	1274	981	1408	1494	907	1936
peak402	1303	505	6253	2668	4883	5363	5018	10745
peak403	26	0	80	81	107	140	227	490
peak404	13	9	279	53	15	30	84	117
peak405	35	15	181	145	138	200	142	333
peak406	326	61	1274	420	1143	1190	1271	2225
peak407	1726	928	10032	5516	6344	7717	6298	12339
peak408	318	12	1404	616	386	520	1821	2761
peak409	31	0	65	23	61	62	262	596
peak410	24	0	141	104	65	91	289	453
peak411	30	0	219	67	178	193	356	608
peak412	17	6	211	35	149	107	307	400
peak413	9	0	142	10	152	92	582	627
peak414	220	16	1309	773	738	942	1148	2415
peak415	64	0	170	304	147	213	262	408
peak416	339	108	1594	946	419	576	1252	2821
peak417	562	98	3912	1609	779	1044	3241	7020
peak418	644	182	2079	1259	992	1053	1224	2342
peak419	201	16	1482	968	190	239	1073	1928
peak420	103	31	248	155	69	105	129	262
peak421	250	38	1935	1231	295	393	922	1760
peak422	58	23	237	150	76	90	334	544
peak423	4072	952	27075	14809	7865	9906	25656	48095
peak424	0	0	31	0	87	141	310	548
peak425	395	58	1290	397	969	1172	1297	2524
peak426	591	40	2178	1096	963	1325	1444	3570
peak427	11	42	181	36	89	124	152	339
peak428	45	0	159	40	237	289	275	633
peak429	163	0	565	213	280	350	776	1178
peak430	57	16	211	191	96	130	363	878
peak431	52	0	481	227	237	360	717	1212
peak432	22	4	111	135	117	119	118	271
peak433	387	176	3888	3623	1289	1431	4488	8112
peak434	256	162	2629	2158	601	794	2462	4812
peak435	111	55	529	415	216	263	618	1124
peak436	271	281	2474	1734	908	1038	2011	3678
peak437	86	37	519	392	261	321	371	875
peak438	155	102	499	188	602	738	569	1165
peak439	579	129	3511	2111	1371	1641	2739	5738
peak440	163	16	1451	581	696	888	1386	2451
peak441	2	0	79	58	20	42	64	106
peak442	68	0	403	230	134	202	412	847
peak443	31	22	293	187	53	79	159	143
peak444	49	24	151	108	129	115	183	316
peak445	51	0	182	167	191	254	219	606
peak446	70	0	168	151	29	48	63	84
peak447	209	236	1344	636	518	716	768	1248
peak448	374	86	1407	789	636	740	1133	1767
peak449	1045	142	3450	1947	1984	2370	3895	8428
peak450	30	0	149	51	74	63	113	256
peak451	224	32	598	507	161	156	248	365
peak452	18	25	141	137	15	20	55	98
peak453	32	17	232	76	16	22	87	258
peak454	17	0	240	82	13	21	52	80
peak455	7	0	131	60	19	39	45	65
peak456	17	0	267	151	26	33	105	204
peak457	541	151	5470	2236	1366	1757	5745	9906
peak458	478	31	645	478	668	922	1192	1910
peak459	180	65	2835	1992	709	951	3592	7130
peak460	29	0	320	159	126	126	332	635
peak461	13	0	135	95	68	80	180	276
peak462	21	0	151	61	54	66	153	210
peak463	33	47	176	132	47	84	203	280
peak464	91	1	506	313	206	293	497	913
peak465	159	36	554	341	321	378	596	1296
peak466	98	14	377	349	171	205	309	522
peak467	44	3	187	210	66	83	133	269
peak468	12	0	237	60	31	45	93	243
peak469	131	0	1264	579	273	434	828	1758
peak470	110	0	361	317	227	224	272	513
peak471	85	0	292	118	149	147	324	537
peak472	552	37	873	263	263	330	582	402
peak473	2328	228	6620	2903	669	934	3244	5226
peak474	636	52	1570	771	436	542	500	1120
peak475	2	0	460	311	6	22	83	122
peak476	88	16	341	415	160	219	294	585
peak477	426	1	881	660	659	865	826	2130
peak478	132	35	902	392	220	256	661	1471
peak479	149	78	1186	811	297	434	899	1776
peak480	18	0	173	400	127	120	153	567
peak481	64	45	422	239	325	485	542	1000
peak482	207	122	1762	720	630	675	1487	2874
peak483	196	37	2322	1628	549	671	2299	4927
peak484	79	21	280	264	225	300	265	726
peak485	26	26	351	242	34	46	64	174
peak486	107	27	581	463	31	54	129	141
peak487	116	36	1278	504	162	218	692	1141
peak488	25	0	51	152	33	24	47	105
peak489	88	106	242	176	184	197	281	471
peak490	270	58	596	551	559	672	585	1167
peak491	198	0	1140	224	181	190	832	1413
peak492	179	9	453	156	265	331	281	693
peak493	698	200	6344	3333	1887	2105	3904	7762
peak494	200	49	758	452	504	539	510	1225
peak495	49	0	391	244	89	119	290	478
peak496	182	12	546	338	240	255	528	939
peak497	16	0	89	66	101	36	142	152
peak498	70	115	464	36	413	427	385	583
peak499	371	52	567	478	798	806	769	1457
peak500	253	0	472	343	262	389	414	728
peak501	463	118	3582	2009	753	927	2154	3752
peak502	221	0	955	574	280	377	642	1513
peak503	747	139	4682	1702	1569	1970	1869	3740
peak504	20	15	63	37	107	154	573	984
peak505	108	42	1825	764	202	242	1054	2068
peak506	38	0	251	169	39	60	111	244
peak507	58	0	534	137	26	18	12	32
peak508	892	147	6931	3443	190	200	462	977
peak509	196	24	457	169	328	459	439	734
peak510	411	95	2104	790	481	596	1195	1992
peak511	246	89	1144	571	355	398	678	1439
peak512	41	0	137	199	73	56	83	196
peak513	48	33	370	203	119	89	79	244
peak514	134	27	642	261	421	468	544	1159
peak515	163	0	968	548	360	383	771	1372
peak516	219	78	1051	334	526	558	531	1093
peak517	112	84	735	383	199	248	493	976
peak518	129	0	600	257	112	141	456	858
peak519	217	44	452	418	443	571	438	853
peak520	781	110	2341	1711	877	1069	1806	3129
peak521	153	76	564	566	72	102	109	233
peak522	220	49	596	410	79	105	179	430
peak523	495	115	2143	1166	422	559	1490	2797
peak524	463	144	1961	777	440	444	1418	1993
peak525	18	0	258	85	34	74	193	386
peak526	273	15	1511	705	502	675	1124	2083
peak527	168	12	861	558	148	267	466	977
peak528	171	31	575	368	296	345	472	650
peak529	181	200	2472	757	708	797	1549	2558
peak530	58	0	175	122	89	115	198	352
peak531	160	50	879	153	401	552	929	1485
peak532	48	0	453	407	60	75	162	365
peak533	383	102	778	131	858	941	971	1689
peak534	1429	176	4783	2508	2279	2720	4203	7770
peak535	178	94	559	296	242	251	403	684
peak536	12	0	105	85	88	143	289	545
peak537	15	0	168	101	16	18	69	61
peak538	37	0	342	160	41	80	205	365
peak539	121	30	448	257	335	378	267	593
peak540	46	0	651	419	92	143	450	910
peak541	26	0	285	269	31	66	180	398
peak542	38	0	747	286	88	120	616	1111
peak543	73	36	412	233	115	141	442	966
peak544	97	0	581	350	173	165	785	1213
peak545	420	213	3312	1912	683	934	3976	6539
peak546	39	0	538	275	69	103	385	785
peak547	489	1	4052	1981	752	815	4093	7660
peak548	1536	286	10307	4377	3192	4031	10937	18486
peak549	230	15	1577	742	601	745	1633	3323
peak550	153	11	313	183	154	155	308	623
peak551	341	70	1858	1351	503	664	1565	3281
peak552	324	75	929	600	299	395	674	1277
peak553	81	0	200	330	147	169	229	412
peak554	140	88	864	610	282	399	921	1446
peak555	542	43	1342	559	693	901	884	1480
peak556	1215	323	6754	3210	2354	2609	7004	10670
peak557	48	24	186	308	13	16	73	131
peak558	31	38	401	417	55	54	165	317
peak559	110	86	910	540	92	72	330	669
peak560	79	0	297	356	95	110	191	422
peak561	289	39	885	518	299	375	825	1325
peak562	228	94	1990	1125	395	520	1580	2869
peak563	602	365	4543	1904	1627	1793	2998	5405
peak564	35	0	212	129	69	59	193	303
peak565	17	0	104	176	55	62	34	128
peak566	160	0	260	219	270	399	313	612
peak567	40	48	755	379	110	151	692	1069
peak568	299	74	2260	938	605	655	2354	4035
peak569	1386	143	1951	867	1244	1454	1452	2471
peak570	1476	137	2292	1164	809	1012	2049	3452
peak571	61	0	690	275	73	68	355	581
peak572	73	68	433	111	262	316	596	1060
peak573	513	69	1387	593	442	649	785	1295
peak574	16	0	179	165	18	35	102	197
peak575	64	26	492	155	145	212	336	437
peak576	182	1	326	114	303	339	306	713
peak577	268	107	8965	3379	845	994	4626	8600
peak578	652	115	3901	1637	2248	2601	4390	8390
peak579	182	24	367	315	168	210	139	531
peak580	70	0	434	204	97	77	222	554
peak581	188	57	2031	1181	247	323	904	1448
peak582	185	6	1485	1108	252	338	821	1627
peak583	127	0	787	303	72	59	201	337
peak584	34	30	1016	472	46	46	297	542
peak585	866	162	5055	2491	1278	1613	3221	7689
peak586	10878	2348	72275	33201	27595	32033	107907	169292
peak587	40	0	71	64	37	50	98	147
peak588	32	0	232	126	51	43	188	327
peak589	165	12	631	546	302	365	426	691
peak590	282	107	797	416	421	484	1001	1548
peak591	903	194	1585	987	1795	2355	1548	2958
peak592	368	62	552	366	618	850	590	1537
peak593	47	8	205	123	75	121	81	81
peak594	19	0	262	177	56	77	147	299
peak595	213	84	953	335	578	730	1138	2198
peak596	122	35	1153	984	494	539	474	1230
peak597	103	79	707	349	331	260	329	680
peak598	205	9	976	429	358	392	411	711
peak599	189	62	1332	798	347	384	914	1972
peak600	57	0	427	253	57	57	323	724
peak601	125	0	407	168	171	193	388	611
peak602	42	40	256	56	85	166	171	405
peak603	52	0	143	175	57	99	124	423
peak604	75	0	272	241	58	86	209	476
peak605	36	0	150	11	82	91	81	219
peak606	199	34	2128	802	249	353	1024	1917
peak607	669	197	4847	2240	5252	5664	10159	19068
peak608	73	0	348	188	154	231	448	728
peak609	107	48	229	153	245	381	394	817
peak610	29	0	137	212	102	96	87	266
peak611	297	92	1782	1457	584	560	1637	3253
peak612	77	10	1010	612	170	204	806	1469
peak613	95	10	910	477	177	173	930	1533
peak614	71	0	389	169	170	194	546	631
peak615	72	18	518	392	216	198	288	779
peak616	1485	324	5585	3060	8966	10157	11787	23744
peak617	1676	460	4431	1771	5422	6019	6496	14537
peak618	132	0	778	398	188	301	494	1307
peak619	119	25	445	118	221	263	561	831
peak620	43	38	221	161	149	195	130	519
peak621	23	0	237	269	170	197	348	636
peak622	67	20	1247	523	123	142	559	1253
peak623	65	0	1090	434	98	134	504	763
peak624	322	150	1515	903	399	481	861	1715
peak625	354	35	1722	954	301	459	1166	1836
