control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak500	13	4	94	113	11	13	78	121
peak501	629	350	994	1643	220	316	971	1820
peak502	134	73	134	224	48	43	131	232
peak503	852	425	2949	3770	514	518	3938	5680
peak504	648	286	4708	6375	385	336	1743	3097
peak505	102	39	511	829	76	51	767	1411
peak506	150	75	81	73	95	105	269	323
peak507	206	82	235	355	94	118	146	173
peak508	22	2	8	12	3	14	22	56
peak509	23	6	18	39	7	13	28	102
peak510	60	20	119	120	30	18	159	256
peak511	56	35	81	87	31	36	124	186
peak512	115	67	348	417	31	45	53	109
peak513	170	60	600	722	34	30	64	132
peak514	276	151	303	420	192	209	269	493
peak515	305	121	1638	2338	144	178	895	1515
peak516	228	58	1239	1235	166	108	865	1023
peak517	113	30	65	31	50	54	176	191
peak518	151	33	129	83	92	68	469	340
peak519	244	104	1372	1316	107	133	273	431
peak520	2464	696	13242	9223	1000	758	7637	7355
peak521	47	21	64	57	12	15	38	61
peak522	78	43	134	176	25	30	68	97
peak523	95	45	106	76	38	28	145	122
peak524	33	0	25	17	15	8	52	46
peak525	15	4	24	18	7	1	22	12
peak526	7	0	36	22	10	1	8	9
peak527	2	1	46	29	3	1	10	14
peak528	8	1	55	37	4	13	17	35
peak529	24	6	132	82	25	15	148	157
peak530	56	20	265	148	23	32	95	95
peak531	9	1	40	23	9	0	37	6
peak532	25	5	25	11	13	1	18	17
peak533	32	9	69	73	19	3	55	34
peak534	42	3	74	53	16	3	29	22
peak535	81	10	112	56	21	9	39	13
peak536	500	124	2217	1804	111	86	560	561
peak537	261	109	148	183	48	56	120	313
peak538	10	1	8	23	1	0	4	2
peak539	474	183	407	432	171	168	444	537
peak540	781	199	730	487	251	128	1450	995
peak541	1175	262	1019	536	305	178	1661	913
peak542	1697	445	1345	946	508	351	2851	1868
peak543	577	120	511	317	160	108	1090	642
peak544	1827	416	1369	821	556	427	2557	2083
peak545	579	89	524	210	278	129	1447	719
peak546	306	60	253	154	145	80	747	390
peak547	781	207	503	343	339	275	1301	1039
peak548	998	252	450	402	388	332	1001	1008
peak549	989	236	1379	871	255	202	2096	1764
peak550	969	491	977	946	301	381	1242	1717
peak551	250	78	383	281	52	33	96	53
peak552	128	57	355	403	66	65	196	314
peak553	61	22	52	85	10	35	28	56
peak554	107	40	867	574	68	74	657	764
peak555	323	110	669	920	251	236	1335	1893
peak556	5	6	19	19	1	2	8	10
peak557	0	0	20	22	3	0	20	35
peak558	226	96	370	371	108	118	591	963
peak559	127	82	213	278	59	88	149	327
peak560	89	60	199	297	51	101	77	222
peak561	362	161	1572	2070	199	240	386	702
peak562	1121	566	1454	2772	556	492	1316	2215
peak563	94	33	114	140	44	60	383	421
peak564	176	66	831	694	100	101	558	720
peak565	690	194	5805	3983	318	360	1485	1865
peak566	170	46	638	562	433	461	1681	2815
peak567	252	97	2033	1742	720	735	6666	9735
peak568	104	26	105	109	213	186	472	472
peak569	51	13	139	160	57	48	622	936
peak570	80	40	248	339	83	78	288	530
peak571	327	95	2766	2939	264	271	1713	2499
peak572	40	15	64	85	14	29	85	112
peak573	811	529	720	1318	169	289	288	733
peak574	65	24	134	169	19	18	32	41
peak575	94	23	36	17	37	27	73	73
peak576	213	50	278	178	65	44	91	69
peak577	63	18	104	76	51	27	220	183
peak578	25	15	39	26	24	19	52	70
peak579	94	40	36	39	42	41	114	164
peak580	53	25	32	24	42	38	113	116
peak581	13	6	24	22	5	7	63	44
peak582	831	343	431	441	355	306	235	323
peak583	894	368	455	489	374	327	244	369
peak584	100	46	213	223	62	56	211	301
peak585	146	40	412	216	52	46	106	102
peak586	155	59	1232	920	68	75	220	340
peak587	58	12	385	254	34	15	89	70
peak588	50	18	175	152	5	11	44	64
peak589	90	25	264	289	28	41	103	201
peak590	52	18	205	224	12	16	64	74
peak591	50	32	53	59	22	19	137	118
peak592	25	18	32	49	25	26	78	112
peak593	339	129	1502	1617	169	177	499	636
peak594	289	103	1177	1182	116	173	395	707
peak595	79	34	80	119	39	36	123	130
peak596	104	29	308	203	46	38	45	25
peak597	174	63	264	241	61	50	95	97
peak598	146	59	562	627	62	72	322	384
peak599	161	72	267	288	58	69	412	457
peak600	215	70	117	196	46	62	55	132
peak601	46	21	338	505	40	52	250	417
peak602	2	2	25	25	9	3	6	5
peak603	10	5	8	4	7	0	15	30
peak604	178	87	179	260	86	77	420	621
peak605	61	24	74	77	32	55	154	168
peak606	79	34	146	134	15	8	75	121
peak607	44	17	184	262	25	37	279	701
peak608	9	4	104	149	9	14	113	220
peak609	353	135	362	253	158	138	879	606
peak610	12	11	75	103	5	18	81	135
peak611	11	3	7	10	7	10	23	38
peak612	2	2	3	6	3	3	4	9
peak613	2	1	23	53	8	5	21	40
peak614	187	94	193	225	176	159	390	531
peak615	0	0	4	10	0	1	5	5
peak616	28	8	162	138	4	3	49	31
peak617	38	16	55	74	7	10	28	45
peak618	355	235	492	780	162	211	245	333
peak619	33	19	126	107	14	12	95	111
peak620	13	8	93	92	12	10	39	53
peak621	5	2	4	13	5	2	32	23
peak622	165	82	425	542	107	76	111	204
peak623	117	46	148	176	73	93	337	467
peak624	256	123	267	347	177	232	473	698
peak625	536	270	2848	3809	367	492	1115	1795
peak626	139	67	430	385	72	51	137	216
peak627	987	355	5658	4686	412	313	7113	8007
peak628	2602	1250	9280	10821	923	1013	10045	15158
peak629	25	8	114	183	4	8	22	56
peak630	7	1	6	12	4	2	11	16
peak631	10	1	4	14	5	9	10	23
peak632	5	3	34	48	5	7	25	31
peak633	35	14	198	199	15	17	143	173
peak634	295	121	950	1260	130	111	1964	2921
peak635	473	211	1176	1531	210	202	2466	3396
peak636	584	301	675	468	262	345	952	891
peak637	312	191	513	587	110	204	407	525
peak638	508	265	3656	6447	203	275	1243	2178
peak639	1103	583	13086	19453	526	534	3125	5935
peak640	163	52	258	207	93	92	162	202
peak641	196	71	1371	1539	135	120	340	527
peak642	56	35	512	728	24	46	245	562
peak643	204	72	191	162	93	84	457	396
peak644	788	278	438	515	254	278	787	980
peak645	676	262	381	560	205	242	462	1022
peak646	778	284	493	647	226	296	418	1325
peak647	739	214	483	432	195	234	391	994
peak648	279	114	492	619	162	186	1206	1833
peak649	54	19	174	123	27	35	242	502
peak650	612	282	3547	5358	337	354	1662	3810
peak651	476	204	1373	1854	202	218	507	796
peak652	419	206	1075	2016	276	355	407	670
peak653	159	71	164	217	106	116	125	224
peak654	2	3	48	31	1	1	8	16
peak655	1	0	31	20	4	5	8	14
peak656	21	8	100	118	3	5	31	56
peak657	5	2	53	83	5	6	34	50
peak658	78	41	505	834	62	89	316	602
peak659	120	27	427	274	57	55	200	217
peak660	135	23	253	156	61	52	174	161
peak661	4	1	24	19	11	2	30	30
peak662	61	32	81	61	71	57	303	368
