control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak397	19	12	203	161	26	12	99	98
peak398	19	22	445	454	29	20	298	291
peak399	4	11	81	156	10	6	62	47
peak400	1	0	83	129	0	1	56	69
peak401	0	0	22	30	7	4	18	17
peak402	206	118	711	687	306	292	672	600
peak403	0	15	161	99	0	7	82	112
peak404	171	108	5894	4942	151	138	3949	3640
peak405	7	25	111	83	23	27	56	43
peak406	4	2	17	44	0	7	6	23
peak407	73	58	3311	3567	82	104	2251	2101
peak408	11	20	293	235	11	14	336	166
peak409	140	125	191	775	111	153	161	571
peak410	8	3	42	70	10	9	36	35
peak411	39	25	406	338	45	35	166	130
peak412	2	5	284	242	58	66	1150	942
peak413	65	15	454	160	45	20	143	53
peak414	35	35	75	269	31	66	43	123
peak415	190	64	144	158	140	95	249	284
peak416	206	116	1931	1908	248	189	1597	1013
peak417	639	252	7981	6324	528	338	4807	3073
peak418	324	185	547	663	329	275	379	315
peak419	102	59	150	354	84	104	155	233
peak420	69	12	177	199	39	43	159	89
peak421	201	108	360	322	224	134	218	317
peak422	35	54	226	250	23	40	146	175
peak423	8	2	19	12	6	6	37	65
peak424	4	1	68	65	11	7	161	126
peak425	0	0	40	20	0	1	53	32
peak426	21	18	86	62	24	12	76	89
peak427	23	10	712	407	15	9	442	270
peak428	0	1	2	13	8	5	18	25
peak429	0	2	24	16	4	13	31	36
peak430	12	25	47	104	12	27	25	28
peak431	218	106	395	390	217	165	229	272
peak432	1359	594	3428	3128	918	526	1406	1587
peak433	581	348	1983	1442	363	378	757	1295
peak434	0	2	24	18	0	0	17	5
peak435	39	33	469	353	7	23	211	209
peak436	46	20	2968	1845	23	37	1925	1036
peak437	46	15	1086	812	17	27	816	553
peak438	431	173	2337	1723	311	268	1131	1340
peak439	107	72	214	325	57	124	203	278
peak440	35	13	434	235	22	20	267	95
peak441	269	268	1712	2478	1067	1037	4663	4709
peak442	185	77	663	678	184	204	455	468
peak443	130	61	427	332	90	85	215	222
peak444	10	4	214	194	5	7	85	59
peak445	6	1	47	74	7	8	13	15
peak446	55	28	105	119	13	27	76	83
peak447	32	24	343	517	26	57	166	160
peak448	63	37	258	363	46	45	146	130
peak449	86	120	1509	2278	102	135	913	970
peak450	2	4	51	95	5	3	61	58
peak451	44	23	1410	1590	56	36	1026	764
peak452	2	1	65	111	0	4	30	35
peak453	1	4	34	31	5	0	23	16
peak454	164	57	407	440	93	65	225	211
peak455	0	4	33	15	0	1	11	8
peak456	8	5	359	92	5	4	172	66
peak457	82	53	3383	2525	75	54	2071	1447
peak458	51	23	191	267	51	76	136	142
peak459	37	29	1159	686	16	28	526	683
peak460	84	99	1348	1643	57	138	959	946
peak461	143	117	1103	2104	139	200	1084	1494
peak462	11	14	139	269	11	18	75	176
peak463	333	132	336	807	185	238	297	858
peak464	10	7	24	32	18	23	29	42
peak465	1	11	143	124	30	13	320	259
peak466	0	2	26	64	0	9	80	69
peak467	13	2	21	34	7	16	19	22
peak468	103	78	3426	3108	117	145	2258	1988
peak469	68	44	58	108	67	59	130	222
peak470	1	0	68	56	5	5	62	44
peak471	2	4	201	151	4	10	87	45
peak472	13	20	829	574	22	11	430	198
peak473	15	4	244	182	1	9	125	76
peak474	14	4	109	166	20	20	50	73
peak475	12	6	46	32	21	24	76	167
peak476	35	6	149	93	56	45	213	286
peak477	2	8	10	45	7	22	49	60
peak478	8	10	42	36	23	20	86	75
peak479	2	7	60	83	8	7	73	73
peak480	7	6	106	197	20	16	95	87
peak481	77	55	1392	938	40	33	707	827
peak482	58	46	277	134	50	47	129	109
peak483	2	1	175	231	3	12	117	228
peak484	6	0	47	57	21	8	32	40
peak485	1	0	32	4	0	0	41	20
peak486	760	367	6956	5056	571	546	5201	4197
peak487	499	358	6016	5529	567	423	4223	4355
peak488	102	67	832	1062	166	148	590	540
peak489	54	31	198	193	55	45	102	189
peak490	211	137	1167	1577	214	215	665	941
peak491	27	54	75	185	23	59	98	101
peak492	22	1	96	66	33	56	138	111
peak493	433	200	2339	1919	285	245	1645	1227
peak494	47	30	155	132	23	54	93	93
peak495	5	10	117	76	7	5	56	66
peak496	24	26	1361	891	41	50	1449	753
peak497	38	45	79	155	46	50	70	177
peak498	80	48	270	354	98	59	320	579
peak499	80	59	238	215	116	99	131	71
peak500	106	37	574	339	33	32	237	62
peak501	19	8	104	90	5	11	31	27
peak502	206	81	1357	972	224	143	1174	603
peak503	143	86	3127	2362	210	132	2180	1182
peak504	1	4	47	69	0	1	69	45
peak505	278	150	5300	3826	275	206	2007	1056
peak506	14	29	68	117	6	36	75	47
peak507	4	1	35	57	0	7	29	23
peak508	25	22	957	763	134	78	1720	667
peak509	226	110	498	463	291	290	445	545
peak510	63	12	189	108	56	18	100	54
peak511	364	313	562	520	350	347	516	792
peak512	1238	616	4073	3167	908	785	2092	3128
peak513	56	34	52	162	27	72	24	99
peak514	49	43	177	150	30	38	168	166
peak515	0	0	47	44	1	0	20	14
peak516	14	13	91	87	9	21	33	25
peak517	148	77	306	216	134	95	160	187
peak518	317	127	9870	6469	261	225	6419	4013
peak519	178	100	93	141	74	62	146	173
peak520	80	50	123	295	29	53	110	268
peak521	5	5	97	138	10	4	109	115
peak522	2	9	235	149	0	0	69	51
peak523	7	18	130	106	13	9	58	31
peak524	11	3	61	49	0	4	26	17
peak525	25	11	294	259	17	6	142	85
peak526	24	26	168	186	37	24	53	40
peak527	12	12	375	371	9	32	150	122
peak528	10	0	87	72	11	9	48	20
peak529	13	9	91	109	1	15	105	75
peak530	22	3	293	245	9	12	171	66
peak531	17	0	147	203	9	3	131	130
peak532	28	23	199	142	54	68	77	80
peak533	0	5	17	14	17	6	18	23
peak534	1	0	14	7	0	4	23	16
peak535	149	70	330	296	119	128	150	204
peak536	183	144	1009	1090	187	199	552	650
peak537	52	24	27	99	25	48	45	131
peak538	145	24	117	282	65	58	199	347
peak539	74	19	196	548	68	60	253	545
peak540	19	8	352	145	16	38	56	35
peak541	68	61	219	369	40	67	118	396
peak542	5	13	149	703	12	29	109	297
peak543	19	0	68	102	44	32	97	115
peak544	2	0	14	8	1	5	8	37
peak545	16	3	162	108	22	14	91	103
peak546	295	125	1251	1312	189	156	488	619
peak547	128	64	438	331	114	58	224	304
peak548	107	91	915	958	205	206	602	484
peak549	2	3	82	96	6	8	107	40
peak550	64	18	37	82	40	20	36	108
peak551	99	49	34	160	37	75	51	153
peak552	7	0	39	30	7	4	42	38
peak553	48	23	139	242	64	82	113	159
peak554	34	24	104	97	43	15	55	65
peak555	30	22	74	78	22	22	78	86
peak556	59	90	56	173	39	69	40	221
peak557	6	3	36	38	4	0	15	33
peak558	110	166	402	1258	92	142	360	576
peak559	180	58	176	128	73	63	133	163
peak560	514	156	4042	2282	428	276	1452	742
peak561	6	14	50	83	2	8	29	56
peak562	7	15	80	56	7	22	22	45
peak563	264	132	1976	1941	349	300	1925	1784
peak564	37	29	22	100	40	40	77	127
peak565	159	57	1041	945	233	108	729	420
peak566	68	43	1431	773	136	106	1444	716
peak567	110	62	207	271	132	73	336	349
peak568	258	150	1590	1886	393	447	1600	1103
peak569	268	149	7362	5311	271	205	1999	1195
peak570	765	261	800	1635	639	376	1066	1767
peak571	32	21	69	154	35	33	49	38
peak572	12	4	149	110	1	0	64	49
peak573	40	48	671	715	22	42	744	477
peak574	0	7	48	35	6	2	28	31
peak575	37	32	47	57	22	40	38	90
peak576	84	66	188	277	62	90	226	398
peak577	10	17	36	38	5	25	14	66
peak578	43	39	396	718	64	73	290	537
peak579	134	193	1686	2896	148	207	1446	1537
peak580	160	98	1088	1464	198	168	573	826
peak581	26	12	55	59	27	24	48	58
peak582	35	46	73	157	39	49	99	205
peak583	11	4	31	31	6	14	70	18
peak584	59	30	216	156	71	74	324	289
peak585	149	126	1447	1868	351	306	2084	2197
peak586	11	8	145	58	22	23	81	37
peak587	632	519	16517	19677	269	304	6026	3759
peak588	9	8	322	414	29	7	211	165
peak589	6	1	87	166	5	5	93	119
peak590	17	14	396	299	5	20	173	99
peak591	0	0	10	8	0	0	8	24
peak592	0	0	9	10	0	0	48	18
peak593	4	0	141	147	9	9	78	41
peak594	36	62	509	473	42	44	177	202
peak595	37	28	26	141	23	55	22	43
peak596	0	1	36	18	0	1	136	73
peak597	9	5	97	44	0	1	24	25
peak598	14	6	97	116	4	5	19	15
peak599	20	5	173	235	6	2	91	45
peak600	53	13	58	91	11	23	23	32
peak601	1143	616	1151	1176	1190	827	1156	895
peak602	49	29	611	632	23	29	442	306
peak603	71	46	869	1128	44	37	836	438
peak604	21	33	144	201	31	26	107	93
peak605	167	106	1443	1778	181	167	940	988
peak606	17	14	49	105	20	45	55	100
peak607	14	17	54	79	22	18	52	60
peak608	1	10	27	91	1	14	19	19
peak609	109	27	350	218	142	120	268	283
peak610	24	28	75	174	28	42	81	86
peak611	102	29	777	648	57	30	413	210
peak612	1371	764	20903	14908	1180	1206	13243	9317
peak613	63	62	666	665	51	88	402	171
peak614	26	17	196	329	20	27	138	79
peak615	273	180	4287	4321	325	274	2477	1147
peak616	17	0	42	42	1	1	9	4
peak617	12	0	104	85	0	1	23	11
peak618	3	5	45	49	2	5	31	11
peak619	19	22	56	111	50	31	79	52
peak620	43	12	73	110	50	36	45	58
peak621	117	44	620	938	100	115	341	349
peak622	4	1	103	40	0	1	11	11
peak623	9	11	211	185	1	10	72	34
peak624	86	59	2793	1883	27	20	936	513
peak625	310	274	1890	2902	105	137	450	617
peak626	18	8	20	74	17	22	25	78
peak627	120	71	630	217	87	71	561	206
peak628	30	20	18	108	18	13	38	101
peak629	22	42	386	353	158	193	1449	1703
peak630	3	14	34	58	32	60	200	372
peak631	2	1	57	61	9	31	155	239
peak632	4	7	38	57	11	24	225	261
peak633	4	0	28	57	9	17	143	116
peak634	9	4	20	21	20	20	54	87
peak635	52	25	887	1056	128	116	1902	1578
peak636	157	123	1043	817	150	111	285	207
peak637	1954	1014	6645	6330	1030	932	3070	4279
peak638	1129	563	1375	1683	570	472	830	1355
peak639	0	0	22	21	4	1	42	10
peak640	55	28	135	218	44	64	99	176
peak641	5115	3371	10184	13654	4243	5609	9646	14595
peak642	31389	11695	31868	17528	24955	18821	40390	55664
peak643	7661	4443	6301	7633	7042	7000	7668	21418
peak644	3555	1736	2703	6861	3229	2852	4101	11772
peak645	25	8	152	94	18	21	74	95
peak646	2	6	50	46	1	7	18	20
peak647	82	83	227	421	69	95	110	81
peak648	1010	733	14379	19746	774	859	9896	13403
peak649	370	257	575	1356	209	266	521	1269
peak650	154	52	1424	1082	1053	1014	11687	10782
peak651	1	1	33	95	43	57	147	246
peak652	1659	924	42478	22259	590	591	12469	7726
peak653	3	0	82	77	0	12	31	39
peak654	255	110	1557	1775	351	344	1064	901
peak655	20	6	227	240	80	51	82	87
peak656	93	40	170	377	155	73	242	702
peak657	0	0	71	46	2	5	23	10
peak658	12	13	560	394	17	26	372	216
peak659	34	9	132	161	33	16	97	94
peak660	0	0	3	8	6	4	24	10
peak661	32	11	354	184	80	44	252	118
peak662	52	49	382	359	76	52	195	161
peak663	51	34	357	383	51	48	158	177
peak664	76	34	144	133	47	57	152	129
peak665	9	3	85	78	4	17	15	34
peak666	38	19	53	76	33	28	50	74
