control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak588	13	20	63	29	25	16	52	35
peak589	15	11	68	39	15	22	38	23
peak590	24	22	140	205	22	19	126	66
peak591	16	15	72	38	31	9	47	32
peak592	32	36	47	168	26	24	31	24
peak593	41	29	191	35	39	39	123	125
peak594	64	34	311	424	64	50	308	136
peak595	23	39	240	477	43	41	637	387
peak596	14	11	59	169	20	22	196	67
peak597	15	12	42	190	13	14	21	14
peak598	10	6	34	50	6	4	31	13
peak599	8	8	37	26	7	4	28	14
peak600	4	6	43	34	3	5	58	25
peak601	18	8	43	52	4	5	17	12
peak602	17	15	53	100	3	4	20	17
peak603	31	17	170	153	12	8	64	27
peak604	15	13	53	23	6	5	21	18
peak605	5	4	40	34	12	5	26	36
peak606	23	22	146	240	18	27	216	157
peak607	20	15	62	18	8	4	49	32
peak608	17	14	52	51	7	16	15	9
peak609	51	35	346	474	35	34	389	209
peak610	15	10	104	119	12	8	70	33
peak611	20	8	104	87	16	12	105	47
peak612	5	11	38	76	10	10	90	30
peak613	10	13	56	61	8	8	60	40
peak614	7	12	33	43	8	5	54	11
peak615	5	7	15	64	14	7	17	10
peak616	17	25	66	144	17	19	45	36
peak617	33	29	106	224	30	19	98	56
peak618	3	3	26	44	3	1	39	10
peak619	35	33	99	79	28	20	28	8
peak620	77	60	416	453	45	31	157	90
peak621	10	15	63	54	14	17	30	15
peak622	23	25	69	140	9	16	105	46
peak623	20	24	46	20	17	9	22	19
peak624	2	0	23	97	2	2	52	16
peak625	5	10	23	27	8	4	19	28
peak626	44	47	298	692	37	37	566	311
peak627	4	5	13	32	6	4	50	23
peak628	7	5	35	64	6	9	128	63
peak629	1	1	23	85	2	5	103	66
peak630	3	7	29	104	6	3	68	31
peak631	48	47	149	221	33	36	195	84
peak632	22	21	52	101	7	17	62	43
peak633	25	17	36	128	18	13	65	18
peak634	11	17	32	117	10	10	30	21
peak635	35	44	352	798	30	33	496	230
peak636	3	3	18	55	3	2	24	7
peak637	7	14	74	90	20	10	28	24
peak638	5	9	27	46	7	5	26	9
peak639	28	18	228	267	20	16	220	113
peak640	12	13	50	67	19	7	28	16
peak641	7	9	39	95	4	9	154	57
peak642	124	144	1214	1643	101	108	1618	1179
peak643	58	57	210	333	52	49	351	154
peak644	21	30	75	111	21	15	72	36
peak645	33	35	63	103	16	7	151	119
peak646	13	1	38	33	13	9	101	33
peak647	41	21	167	173	22	12	213	100
peak648	14	7	46	71	12	9	29	18
peak649	11	9	38	56	6	8	19	8
peak650	2	5	28	22	5	1	5	5
peak651	60	49	266	126	32	23	70	72
peak652	30	20	133	54	28	13	49	41
peak653	17	8	43	10	18	5	35	7
peak654	9	19	60	42	11	10	9	6
peak655	50	45	211	149	39	20	70	50
peak656	8	6	30	59	6	6	33	10
peak657	44	60	155	165	42	26	88	46
peak658	6	3	24	59	9	2	81	19
peak659	19	26	208	287	22	25	335	244
peak660	20	11	65	97	7	19	77	44
peak661	34	14	161	182	23	24	260	214
peak662	11	11	73	98	13	10	88	54
peak663	8	4	39	71	11	5	93	36
