control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak283	52	49	153	291	48	36	152	132
peak284	22	27	16	62	24	13	26	34
peak285	39	40	32	92	56	26	21	38
peak286	33	33	18	83	29	17	25	16
peak287	92	88	30	122	94	58	8	54
peak288	184	181	83	213	273	208	17	50
peak289	59	41	25	93	68	44	14	38
peak290	168	180	153	208	278	146	68	145
peak291	532	486	542	982	586	294	515	484
peak292	48	28	32	114	60	45	42	85
peak293	35	41	76	168	57	39	110	98
peak294	28	41	45	85	51	34	62	48
peak295	1058	1001	1467	3989	1148	633	876	995
peak296	320	304	174	431	354	165	101	103
peak297	498	561	1086	2326	507	310	539	841
peak298	271	264	318	915	304	159	228	262
peak299	16	14	137	124	18	32	73	112
peak300	375	368	494	860	390	161	548	618
peak301	100	96	109	113	152	78	78	110
peak302	108	93	96	166	164	88	77	106
peak303	170	166	171	274	270	128	90	158
peak304	108	89	84	143	165	64	40	64
peak305	5123	5132	9516	20181	6777	3318	7145	8091
peak306	3884	4101	1395	3063	4380	2150	2175	1654
peak307	4177	3822	138	443	5436	2501	240	205
peak308	6191	6116	988	2138	7052	4441	1727	1178
peak309	3987	3946	201	680	4635	2526	444	304
peak310	2492	2114	743	1447	3401	1623	982	982
peak311	3454	3486	2119	4568	4591	2064	3233	3127
peak312	6978	6894	3248	6340	9296	4196	4115	4369
peak313	1846	1780	245	667	2274	1099	478	447
peak314	0	1	24	65	5	0	30	32
peak315	1752	1572	117	313	1868	1078	93	154
peak316	890	852	526	1382	872	350	487	551
peak317	2091	1992	3291	6639	1964	882	4286	3343
peak318	2576	2261	3796	7231	2462	1205	4772	3785
peak319	1045	672	365	959	1170	1004	522	223
peak320	95	72	97	130	96	47	43	46
peak321	121	81	203	394	117	94	278	139
peak322	309	308	126	221	337	171	143	113
peak323	46	46	79	136	51	26	40	50
peak324	79	79	45	118	70	25	42	74
peak325	42	55	33	79	49	26	44	35
peak326	135	155	68	178	153	75	115	42
peak327	153	134	89	217	96	87	49	59
peak328	216	199	295	579	190	103	165	163
peak329	152	144	116	289	135	83	47	75
peak330	106	108	85	139	113	60	32	56
peak331	88	86	46	126	94	47	41	24
peak332	21	15	23	40	17	10	0	15
peak333	384	410	484	965	442	287	507	553
peak334	387	379	1312	2490	414	224	831	1058
peak335	78	92	227	581	192	137	779	770
peak336	48	42	63	64	70	67	174	189
peak337	64	67	23	87	55	57	25	25
peak338	41	68	61	90	63	27	12	19
peak339	78	84	74	149	80	28	23	41
peak340	270	235	611	1229	239	106	369	307
peak341	33	24	56	180	25	22	71	90
peak342	23	28	60	107	24	10	12	56
peak343	175	135	598	1230	233	147	476	539
peak344	57	34	53	63	47	39	165	22
peak345	41	27	33	74	47	21	14	39
peak346	22	14	24	64	17	8	38	37
peak347	24	21	41	81	21	15	27	14
peak348	315	298	187	359	351	212	274	227
peak349	226	282	213	423	319	160	235	220
peak350	30	23	23	59	32	18	53	48
peak351	37	42	52	135	59	32	49	53
peak352	29	22	46	77	41	27	46	50
peak353	24	29	39	71	46	22	15	15
peak354	19	13	29	72	19	11	20	13
peak355	17	17	27	54	19	3	39	11
peak356	26	27	38	79	28	17	54	77
peak357	234	179	244	481	214	141	263	164
peak358	90	97	49	186	93	49	42	39
peak359	42	30	29	56	69	28	14	23
peak360	28	22	149	276	39	16	84	97
peak361	87	88	435	683	87	45	387	341
peak362	50	44	70	125	60	33	32	48
peak363	34	35	108	154	53	30	86	70
peak364	33	57	130	255	48	28	59	75
peak365	131	114	141	300	203	103	163	152
peak366	70	63	47	124	79	47	38	58
peak367	43	41	31	107	47	32	31	38
peak368	42	33	50	97	42	23	22	40
peak369	30	29	86	232	23	34	219	139
peak370	38	55	48	82	44	24	21	32
peak371	19	36	30	61	44	10	13	18
peak372	5	7	26	45	4	6	2	9
peak373	8	9	33	34	8	7	2	6
peak374	190	167	140	307	212	142	67	158
peak375	175	143	164	293	206	130	109	83
peak376	89	98	109	144	109	74	50	59
peak377	79	69	194	341	100	61	75	122
peak378	53	50	74	160	49	24	21	38
peak379	96	110	233	351	151	134	88	362
peak380	37	33	77	183	37	31	52	67
peak381	10	17	7	40	27	10	29	9
peak382	62	73	213	409	100	74	275	94
peak383	75	72	68	89	143	72	48	36
peak384	57	63	36	65	60	36	28	33
peak385	45	38	56	114	38	29	15	40
peak386	14	15	22	38	29	15	12	18
peak387	42	46	22	81	46	33	13	51
peak388	13	25	64	73	19	10	22	79
peak389	39	54	66	175	68	26	132	106
peak390	108	87	271	589	128	76	331	260
peak391	66	68	62	112	80	45	32	36
peak392	12	18	45	107	20	17	36	55
peak393	20	19	123	241	32	22	75	124
peak394	107	94	202	495	114	73	118	116
peak395	178	162	109	196	191	100	61	31
